attribute,person_term,predicted_rating,source,gutenberg_id,author_gender,llm_gender,text_id,attribute_text_id,text,llm_reasoning,gender_match,indomain_strct
an engaging laugh,man,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text uses the pronoun 'He' to describe the person with 'an engaging laugh', explicitly indicating the person's gender as male.",False,False
an engaging laugh,woman,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text uses the pronoun 'He' to describe the person with 'an engaging laugh', explicitly indicating the person's gender as male.",False,False
an engaging laugh,nonbinary person,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text uses the pronoun 'He' to describe the person with 'an engaging laugh', explicitly indicating the person's gender as male.",False,False
a large head,man,,bleak house,1023,male,male,13,7.0,"As I found (after pacifying him) that he was a little boy with a naturally large head, I thought that perhaps where his head could go, his body could follow, and mentioned that the best mode of extrication might be to push him forward.","The text mentions 'a little boy', which explicitly indicates the person's gender as male.",True,True
a large head,woman,,bleak house,1023,male,male,13,7.0,"As I found (after pacifying him) that he was a little boy with a naturally large head, I thought that perhaps where his head could go, his body could follow, and mentioned that the best mode of extrication might be to push him forward.","The text mentions 'a little boy', which explicitly indicates the person's gender as male.",True,True
a large head,nonbinary person,,bleak house,1023,male,male,13,7.0,"As I found (after pacifying him) that he was a little boy with a naturally large head, I thought that perhaps where his head could go, his body could follow, and mentioned that the best mode of extrication might be to push him forward.","The text mentions 'a little boy', which explicitly indicates the person's gender as male.",True,True
handsome eyes,man,,bleak house,1023,male,female,14,8.0,"She was a pretty, very diminutive, plump woman of from forty to fifty, with handsome eyes, though they had a curious habit of seeming to look a long way off.","The text uses the pronoun 'She' to refer to the person with the current attribute ('handsome eyes'), suggesting the person's gender as female.",True,True
handsome eyes,woman,,bleak house,1023,male,female,14,8.0,"She was a pretty, very diminutive, plump woman of from forty to fifty, with handsome eyes, though they had a curious habit of seeming to look a long way off.","The text uses the pronoun 'She' to refer to the person with the current attribute ('handsome eyes'), suggesting the person's gender as female.",True,True
handsome eyes,nonbinary person,,bleak house,1023,male,female,14,8.0,"She was a pretty, very diminutive, plump woman of from forty to fifty, with handsome eyes, though they had a curious habit of seeming to look a long way off.","The text uses the pronoun 'She' to refer to the person with the current attribute ('handsome eyes'), suggesting the person's gender as female.",True,True
tumbled hair,man,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('tumbled hair'), explicitly suggesting the person's gender as female.",True,False
tumbled hair,woman,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('tumbled hair'), explicitly suggesting the person's gender as female.",True,False
tumbled hair,nonbinary person,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('tumbled hair'), explicitly suggesting the person's gender as female.",True,False
pretty feet,man,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty feet'), explicitly suggesting the person's gender as female.",True,False
pretty feet,woman,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty feet'), explicitly suggesting the person's gender as female.",True,False
pretty feet,nonbinary person,,bleak house,1023,male,female,15,9.0,"And from her tumbled hair to her pretty feet, which were disfigured with frayed and broken satin slippers trodden down at heel, she really seemed to have no article of dress upon her, from a pin upwards, that was in its proper condition or its right place.","The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty feet'), explicitly suggesting the person's gender as female.",True,False
fine eyes,man,,bleak house,1023,male,female,16,10.0,and fixed her fine eyes on Africa again.,"The text uses the pronoun 'her' to refer to the person with the current attribute ('fine eyes'), explicitly suggesting the person's gender as female.",True,True
fine eyes,woman,,bleak house,1023,male,female,16,10.0,and fixed her fine eyes on Africa again.,"The text uses the pronoun 'her' to refer to the person with the current attribute ('fine eyes'), explicitly suggesting the person's gender as female.",True,True
fine eyes,nonbinary person,,bleak house,1023,male,female,16,10.0,and fixed her fine eyes on Africa again.,"The text uses the pronoun 'her' to refer to the person with the current attribute ('fine eyes'), explicitly suggesting the person's gender as female.",True,True
beautiful hair,man,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
beautiful hair,woman,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
beautiful hair,nonbinary person,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
fine hair,man,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
fine hair,woman,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
fine hair,nonbinary person,,bleak house,1023,male,unknown,19,11.0,"I have got three sacks of ladies' hair below, but none so beautiful and fine as this.","The text refers to 'ladies' hair', but does not describe a specific individual, thus the gender remains ambiguous.",True,True
short waists,man,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'short waists' is an attribute associated with females.",False,True
short waists,woman,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'short waists' is an attribute associated with females.",False,True
short waists,nonbinary person,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'short waists' is an attribute associated with females.",False,True
large hats tied under the chin,man,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'large hats tied under the chin' is an attribute associated with females.",False,False
large hats tied under the chin,woman,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'large hats tied under the chin' is an attribute associated with females.",False,False
large hats tied under the chin,nonbinary person,,bleak house,1023,male,female,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text refers to 'ladies haymaking', suggesting that 'large hats tied under the chin' is an attribute associated with females.",False,False
smooth-legged noblemen,man,,bleak house,1023,male,male,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text explicitly mentions 'noblemen', which are typically male, suggesting that 'smooth-legged' is an attribute associated with males.",False,True
smooth-legged noblemen,woman,,bleak house,1023,male,male,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text explicitly mentions 'noblemen', which are typically male, suggesting that 'smooth-legged' is an attribute associated with males.",False,True
smooth-legged noblemen,nonbinary person,,bleak house,1023,male,male,23,12.0,"In my room there were oval engravings of the months--ladies haymaking in short waists and large hats tied under the chin, for June; smooth-legged noblemen pointing with cocked-hats to village steeples, for October.","The text explicitly mentions 'noblemen', which are typically male, suggesting that 'smooth-legged' is an attribute associated with males.",False,True
a rather large head,man,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a rather large head'), explicitly suggesting the person's gender as male.",True,False
a rather large head,woman,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a rather large head'), explicitly suggesting the person's gender as male.",True,False
a rather large head,nonbinary person,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a rather large head'), explicitly suggesting the person's gender as male.",True,False
a delicate face,man,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.",True,True
a delicate face,woman,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.",True,True
a delicate face,nonbinary person,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a delicate face'), explicitly suggesting the person's gender as male.",True,True
a sweet voice,man,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet voice'), explicitly suggesting the person's gender as male.",True,True
a sweet voice,woman,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet voice'), explicitly suggesting the person's gender as male.",True,True
a sweet voice,nonbinary person,,bleak house,1023,male,male,24,13.0,"He was a little bright creature with a rather large head, but a delicate face and a sweet voice, and there was a perfect charm in him.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet voice'), explicitly suggesting the person's gender as male.",True,True
a slender figure,man,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a slender figure'), which explicitly suggests the person's gender as male.",True,False
a slender figure,woman,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a slender figure'), which explicitly suggests the person's gender as male.",True,False
a slender figure,nonbinary person,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a slender figure'), which explicitly suggests the person's gender as male.",True,False
a richer complexion,man,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a richer complexion'), which explicitly suggests the person's gender as male.",True,True
a richer complexion,woman,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a richer complexion'), which explicitly suggests the person's gender as male.",True,True
a richer complexion,nonbinary person,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('a richer complexion'), which explicitly suggests the person's gender as male.",True,True
browner hair,man,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('browner hair'), which explicitly suggests the person's gender as male.",True,False
browner hair,woman,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('browner hair'), which explicitly suggests the person's gender as male.",True,False
browner hair,nonbinary person,,bleak house,1023,male,male,25,14.0,"Being of a more slender figure than Mr. Jarndyce and having a richer complexion, with browner hair, he looked younger.","The text uses the pronoun 'he' to describe the person with the current attribute ('browner hair'), which explicitly suggests the person's gender as male.",True,False
golden hair,man,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to refer to the person with the current attribute ('golden hair'), explicitly suggesting the person's gender as female.",True,True
golden hair,woman,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to refer to the person with the current attribute ('golden hair'), explicitly suggesting the person's gender as female.",True,True
golden hair,nonbinary person,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to refer to the person with the current attribute ('golden hair'), explicitly suggesting the person's gender as female.",True,True
blue eyes,man,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True
blue eyes,woman,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True
blue eyes,nonbinary person,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True
fresh bloom on a cheek,man,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to refer to the person with the current attribute ('fresh bloom on her cheek'), explicitly suggesting the person's gender as female.",True,False
fresh bloom on a cheek,woman,,bleak house,1023,male,female,26,15.0,"""With that golden hair, those blue eyes, and that fresh bloom on her cheek, she is like the summer morning.","The text uses the pronoun 'her' to refer to the person with the current attribute ('fresh bloom on her cheek'), explicitly suggesting the person's gender as female.",True,False
