source_novel,attribute,text,question_context,text_id,attribute_text_id,physical attribute,contextually well-formed,character gender,remarks (optional)
gameofthrones1,teats like empty wineskins,"She has teats like empty wineskins, dry and withered.”  “It wasn’t her teats he wed her for, m’lord.”  The ironmen slammed shut the tall doors at the foot of the hall.",How likely is it for someone to say a woman/man/non-binary person has teats like empty wineskins?,363,221.0,,,,
gameofthrones1,not so fine features,"Not quite so tall, his features not so fine, and his hair is sand instead of spun gold, yet still .",How likely is it for someone to say a woman/man/non-binary person has not so fine features?,252,151.0,,,,
gameofthrones1,a short bristly grey beard,"Bemused, Renly said, “It would seem the direwolf is gentler than the lion.”  “Gentler than the Lannisters,” murmured Lady Oakheart with a bitter smile, “is drier than the sea.”  “I call it weak.” Lord Randyll Tarly had a short, bristly grey beard and a reputation for blunt speech.",How likely is it for someone to say a woman/man/non-binary person has a short bristly grey beard?,201,117.0,,,,
harrypotter1,a small hand,"One small hand closed on the letter beside him and he slept on, not knowing he was special, not knowing he was famous, not knowing he would be woken in a few hours' time by Mrs. Dursley's scream as she opened the front door to put out the milk bottles, nor that he would spend the next few weeks being prodded and pinched by his cousin Dudley...",How likely is it for someone to say a woman/man/non-binary person has a small hand?,8,7.0,,,,
harrypotter1,a red face,"""Say that again,"" Ron said, his face as red as his hair.",How likely is it for someone to say a woman/man/non-binary person has a red face?,39,25.0,,,,
harrypotter1,a wide smile,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today!",How likely is it for someone to say a woman/man/non-binary person has a wide smile?,1,1.0,,,,
harrypotter1,wide eyes,Hermione's eyes were wide.,How likely is it for someone to say a woman/man/non-binary person has wide eyes?,65,34.0,,,,
harrypotter1,a fat wrist,"The lighted dial of Dudley's watch, which was dangling over the edge of the sofa on his fat wrist, told Harry he'd be eleven in ten minutes' time.",How likely is it for someone to say a woman/man/non-binary person has a fat wrist?,20,15.0,,,,
harrypotter1,a thin face,"Harry had a thin face, knobbly knees, black hair, and bright green eyes.",How likely is it for someone to say a woman/man/non-binary person has a thin face?,9,8.0,,,,
harrypotter1,long fingers,He stroked the door gently with one of his long fingers and it simply melted away.,How likely is it for someone to say a woman/man/non-binary person has long fingers?,26,18.0,,,,
harrypotter1,a squeaky voice,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today!",How likely is it for someone to say a woman/man/non-binary person has a squeaky voice?,1,1.0,,,,
harrypotter1,bushy black hair,"He looked simply too big to be allowed, and so wild - long tangles of bushy black hair and beard hid most of his face, he had hands the size of trash can lids, and his feet in their leather boots were like baby dolphins.",How likely is it for someone to say a woman/man/non-binary person has bushy black hair?,5,5.0,,,,
harrypotter1,Harry 's eyes,"The hook-nosed teacher looked past Quirrell's turban straight into Harry's eyes -- and a sharp, hot pain shot across the scar on Harry's forehead.",How likely is it for someone to say a woman/man/non-binary person has Harry 's eyes?,47,28.0,,,,
harrypotter1,small watery blue eyes,"He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.",How likely is it for someone to say a woman/man/non-binary person has small watery blue eyes?,11,10.0,,,,
harrypotter1,large front teeth,"She had a bossy sort of voice, lots of bushy brown hair, and rather large front teeth.",How likely is it for someone to say a woman/man/non-binary person has large front teeth?,37,23.0,,,,
harrypotter1,short gray hair,"She had short, gray hair, and yellow eyes like a hawk.",How likely is it for someone to say a woman/man/non-binary person has short gray hair?,53,32.0,,,,
harrypotter1,a large pink face,"He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.",How likely is it for someone to say a woman/man/non-binary person has a large pink face?,11,10.0,,,,
harrypotter1,wicked dark eyes,"There was a pop, and a little man with wicked, dark eyes and a wide mouth appeared, floating cross- legged in the air, clutching the walking sticks.",How likely is it for someone to say a woman/man/non-binary person has wicked dark eyes?,48,29.0,,,,
harrypotter1,sparkling blue eyes,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",How likely is it for someone to say a woman/man/non-binary person has sparkling blue eyes?,3,3.0,,,,
hungergames1,olive skin,"Straight black hair, olive skin,  we even have the same gray eyes.",How likely is it for someone to say a woman/man/non-binary person has olive skin?,1,1.0,,,,
hungergames1,gray eyes,"Straight black hair, olive skin,  we even have the same gray eyes.",How likely is it for someone to say a woman/man/non-binary person has gray eyes?,1,1.0,,,,
hungergames1,broad shoulders,"He’s a big, broad-shouldered man with burn scars  from years at the ovens.",How likely is it for someone to say a woman/man/non-binary person has broad shoulders?,12,8.0,,,,
hungergames1,stocky build,"Medium height,  stocky build, ashy blond hair that falls in waves over  his forehead.",How likely is it for someone to say a woman/man/non-binary person has stocky build?,8,6.0,,,,
hungergames1,blue eyes,"That’s why my mother and Prim, with their light hair and  blue eyes, always look out of place.",How likely is it for someone to say a woman/man/non-binary person has blue eyes?,2,2.0,,,,
hungergames1,paper-white hair,"The president, a small, thin man with paper-white hair,  gives the official welcome from a balcony above us.",How likely is it for someone to say a woman/man/non-binary person has paper-white hair?,25,16.0,,,,
hungergames1,hazel eyes,"And there, the  ashen hair and hazel eyes of the boy from District 9 who  died as we struggled for the backpack!",How likely is it for someone to say a woman/man/non-binary person has hazel eyes?,108,36.0,,,,
hungergames1,an awkward face,"Which is pointless, of course.” In the light  from below, I can see his face now, the awkward way he  holds his bandaged hands.",How likely is it for someone to say a woman/man/non-binary person has an awkward face?,48,25.0,,,,
hungergames1,dark red hair,"The dark red hair, the striking features, the  porcelain white skin.",How likely is it for someone to say a woman/man/non-binary person has dark red hair?,30,17.0,,,,
hungergames1,pink hair,And may the odds be ever in your favor!” Her pink hair  must be a wig because her curls have shifted slightly  off-center since her encounter with Haymitch.,How likely is it for someone to say a woman/man/non-binary person has pink hair?,5,4.0,,,,
hungergames1,a scary white grin,"Two of the three chairs fill with Madge’s father, Mayor  Undersee, who’s a tall, balding man, and Effie Trinket,  District 12’s escort, fresh from the Capitol with her scary  white grin, pinkish hair, and spring green suit.",How likely is it for someone to say a woman/man/non-binary person has a scary white grin?,4,3.0,,,,
hungergames1,ashen hair,"And there, the  ashen hair and hazel eyes of the boy from District 9 who  died as we struggled for the backpack!",How likely is it for someone to say a woman/man/non-binary person has ashen hair?,108,36.0,,,,
hungergames1,six and a half feet tall,"He’s  one of the giants, probably six and a half feet tall and  built like an ox, but I noticed he rejected the invitations  from the Career Tributes to join their crowd.",How likely is it for someone to say a woman/man/non-binary person has six and a half feet tall?,43,24.0,,,,
hungergames1,skinny arms,She’s wrapped  her skinny arms around me like a vice.,How likely is it for someone to say a woman/man/non-binary person has skinny arms?,6,5.0,,,,
hungergames1,loose strands of hair,His hand brushes  the loose strands of my hair off my forehead.,How likely is it for someone to say a woman/man/non-binary person has loose strands of hair?,85,29.0,,,,
hungergames1,medium height,"Medium height,  stocky build, ashy blond hair that falls in waves over  his forehead.",How likely is it for someone to say a woman/man/non-binary person has medium height?,8,6.0,,,,
lordoftherings1,deep brows,"He then told them many remarkable stories, sometimes half as if speaking to himself, sometimes looking at them suddenly with a bright blue eye under his deep brows.",How likely is it for someone to say a woman/man/non-binary person has deep brows?,50,18.0,,,,
lordoftherings1,a sharp nose,The flicker for a moment showed his sharp nose.,How likely is it for someone to say a woman/man/non-binary person has a sharp nose?,127,45.0,,,,
lordoftherings1,pale-blue eyes,"Her long yellow hair rippled down her shoulders; her gown was green, green as young reeds, shot with silver like beads of dew; and her belt was of gold, shaped like a chain of flag-lilies set with the pale-blue eyes of forget-me-nots.",How likely is it for someone to say a woman/man/non-binary person has pale-blue eyes?,44,16.0,,,,
lordoftherings1,a hungry face,"To his distress and amazement he found that he was no longer looking at Bilbo; a shadow seemed to have fallen between them, and through it he found himself eyeing a little wrinkled creature with a hungry face and bony groping hands.",How likely is it for someone to say a woman/man/non-binary person has a hungry face?,105,40.0,,,,
lordoftherings1,skilful fingers,"Thus, the only craft little practised among them was shoe-making; but they had long and skilful fingers and could make many other useful and comely things.",How likely is it for someone to say a woman/man/non-binary person has skilful fingers?,2,0.0,,,,
lordoftherings1,red cheeks,"_'A stout little fellow with red cheeks,'_ said Mr. Butterbur solemnly.",How likely is it for someone to say a woman/man/non-binary person has red cheeks?,73,26.0,,,,
lordoftherings1,dark eyes,In his aged face under great snowy brows his dark eyes were set like coals that could leap suddenly into fire.,How likely is it for someone to say a woman/man/non-binary person has dark eyes?,100,36.0,,,,
lordoftherings1,a lean face,"asked Boromir, looking in wonder at the lean face of the Ranger and his weather-stained cloak.",How likely is it for someone to say a woman/man/non-binary person has a lean face?,106,41.0,,,,
lordoftherings1,the colour in the face,"The colour had come back to his face, and his eyes were clear, and fully awake and aware.",How likely is it for someone to say a woman/man/non-binary person has the colour in the face?,97,34.0,,,,
lordoftherings1,dark scornful eyes,"He had heavy black brows, and dark scornful eyes; his large mouth curled in a sneer.",How likely is it for someone to say a woman/man/non-binary person has dark scornful eyes?,78,28.0,,,,
lordoftherings1,shining gold hair,"Glorfindel was tall and straight; his hair was of shining gold, his face fair and young and fearless and full of joy; his eyes were bright and keen, and his voice like music; on his brow sat wisdom, and in his hand was strength.",How likely is it for someone to say a woman/man/non-binary person has shining gold hair?,101,37.0,,,,
lordoftherings1,a fair and young face,"Glorfindel was tall and straight; his hair was of shining gold, his face fair and young and fearless and full of joy; his eyes were bright and keen, and his voice like music; on his brow sat wisdom, and in his hand was strength.",How likely is it for someone to say a woman/man/non-binary person has a fair and young face?,101,37.0,,,,
lordoftherings1,a big brown-skinned hand,It seemed to grow larger as it lay for a moment on his big brown-skinned hand.,How likely is it for someone to say a woman/man/non-binary person has a big brown-skinned hand?,52,19.0,,,,
lordoftherings1,a bright blue eye,"He then told them many remarkable stories, sometimes half as if speaking to himself, sometimes looking at them suddenly with a bright blue eye under his deep brows.",How likely is it for someone to say a woman/man/non-binary person has a bright blue eye?,50,18.0,,,,
lordoftherings1,a round red face,Through the gate there now appeared a broad thick-set hobbit with a round red face.,How likely is it for someone to say a woman/man/non-binary person has a round red face?,33,14.0,,,,
lordoftherings1,a pale stem face,"As Frodo drew near be threw back his hood, showing a shaggy head of dark hair necked with grey, and in a pale stem face a pair of keen grey eyes.",How likely is it for someone to say a woman/man/non-binary person has a pale stem face?,68,22.0,,,,
mazerunner,a huge breath,"As she sucked in a huge breath, her  eyes snapped open and she blinked, looking around at the crowd surrounding her.",How likely is it for someone to say a woman/man/non-binary person has a huge breath?,27,12.0,,,,
mazerunner,a ridiculous posture,"“On the count of three,” Jeff, the taller Med-jack, was saying, his tall frame looking ridiculous bent in  half, like a praying mantis.",How likely is it for someone to say a woman/man/non-binary person has a ridiculous posture?,32,16.0,,,,
mazerunner,gray hair,The other was short and actually had gray hair already conguering the  black on the sides of his head.,How likely is it for someone to say a woman/man/non-binary person has gray hair?,30,14.0,,,,
mazerunner,small breaths,"He took small breaths through his nose, his pumping heart needed oxygen desperately.",How likely is it for someone to say a woman/man/non-binary person has small breaths?,58,27.0,,,,
mazerunner,a tall kid,"A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.",How likely is it for someone to say a woman/man/non-binary person has a tall kid?,2,0.0,,,,
mazerunner,tight grin,"Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with  humor.",How likely is it for someone to say a woman/man/non-binary person has tight grin?,31,15.0,,,,
mazerunner,black hair,"He fell to his knees, only to be jerked back to his feet by the Keeper in front, a thick guy with black hair  and asnarl on his face.",How likely is it for someone to say a woman/man/non-binary person has black hair?,45,22.0,,,,
mazerunner,heavy grogginess,"He sat up, rubbing his eyes, trying to shake the  heavy grogginess.",How likely is it for someone to say a woman/man/non-binary person has heavy grogginess?,46,23.0,,,,
mazerunner,a huge gash on the forehead,"It was Alby, flat on his back, a huge gash on his forehead.",How likely is it for someone to say a woman/man/non-binary person has a huge gash on the forehead?,88,38.0,,,,
mazerunner,a snarl on a face,"He fell to his knees, only to be jerked back to his feet by the Keeper in front, a thick guy with black hair  and asnarl on his face.",How likely is it for someone to say a woman/man/non-binary person has a snarl on a face?,45,22.0,,,,
mazerunner,droopy eyes,The kid had droopy eyes and a long face—for  some reason he looked as bored as humanly possible.,How likely is it for someone to say a woman/man/non-binary person has droopy eyes?,47,24.0,,,,
mazerunner,burning blue eyes,Burning blue eyes darted back and forth as she took deep breaths.,How likely is it for someone to say a woman/man/non-binary person has burning blue eyes?,28,13.0,,,,
mazerunner,black hair on the sides,The other was short and actually had gray hair already conguering the  black on the sides of his head.,How likely is it for someone to say a woman/man/non-binary person has black hair on the sides?,30,14.0,,,,
mazerunner,narrowed eyes,"Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with  humor.",How likely is it for someone to say a woman/man/non-binary person has narrowed eyes?,31,15.0,,,,
mazerunner,skin covered in sweat,"He looked like he'd just run twenty miles, face red, skin covered in sweat,  clothes soaked.",How likely is it for someone to say a woman/man/non-binary person has skin covered in sweat?,40,18.0,,,,
mazerunner,glowing eyes,He stared into those glowing eyes.,How likely is it for someone to say a woman/man/non-binary person has glowing eyes?,82,34.0,,,,
twilight1,red hair,"Instead,  I  was  ivory-skinned,  without  even  the  excuse  of  blue  eyes  or  red  hair,  despite  the  constant  sunshine.",How likely is it for someone to say a woman/man/non-binary person has red hair?,3,3.0,,,,
twilight1,a hard forearm,"He  had  the  long  sleeves  of  his  white  shirt  pushed  up  to  his  elbows,    and  his  forearm  was  surprisingly  hard  and  muscular  beneath  his  light  skin.",How likely is it for someone to say a woman/man/non-binary person has a hard forearm?,11,9.0,,,,
twilight1,clean hair,"While  I  waited  for  the  drugs  to  kick  in,  I  dried  my  clean  hair  till  it  was  impeccably    straight,  and  fussed  over  what  I  would  wear  tomorrow.",How likely is it for someone to say a woman/man/non-binary person has clean hair?,78,44.0,,,,
twilight1,beautiful skin,"His  skin  was  beautiful,  silky  and  russet-colored;  his  eyes  were  dark,  set  deep  above  the  high  planes  of  his  cheekbones.",How likely is it for someone to say a woman/man/non-binary person has beautiful skin?,33,20.0,,,,
twilight1,olive-toned skin,"The  man  in  front  was  easily  the  most  beautiful,  his  skin  olive-toned  beneath  the  typical  pallor,  his  hair  a  glossy  black.",How likely is it for someone to say a woman/man/non-binary person has olive-toned skin?,110,60.0,,,,
twilight1,a blue hand,"I  traced  a  blue  hand,  a  woman  combing  her  hair,  a  cat  stretching.",How likely is it for someone to say a woman/man/non-binary person has a blue hand?,126,70.0,,,,
twilight1,serious eyes,His  eyes  were  wide  and  serious.,How likely is it for someone to say a woman/man/non-binary person has serious eyes?,152,78.0,,,,
twilight1,rough voice,"His  low  voice  was  rough,  his  eyes  on  the  clouds  again.",How likely is it for someone to say a woman/man/non-binary person has rough voice?,68,37.0,,,,
twilight1,a willowy frame,"Her  slight  frame  was  willowy,  graceful  even  in  absolute  stillness.",How likely is it for someone to say a woman/man/non-binary person has a willowy frame?,76,43.0,,,,
twilight1,hair worn straight down a back,"Through  the  glass  I  could  see  a  fifty-year-old  woman  with  long,  gray  hair  worn  straight  down  her  back,  clad  in  a  dress  right  out  of  the  sixties,  smiling  welcomingly  from  behind  the  counter.",How likely is it for someone to say a woman/man/non-binary person has hair worn straight down a back?,45,26.0,,,,
twilight1,nearly dry hair,He  laughed  and  lightly  rumpled  my  nearly  dry  hair.,How likely is it for someone to say a woman/man/non-binary person has nearly dry hair?,89,49.0,,,,
twilight1,too bright eyes,"The  face  in  the  mirror  was  practically  a  stranger  —  eyes  too  bright,  hectic  spots  of  red  across  my  cheekbones.",How likely is it for someone to say a woman/man/non-binary person has too bright eyes?,91,50.0,,,,
twilight1,long glossy black hair,"He  looked  fourteen,  maybe  fifteen,  and  had  long,  glossy  black  hair  pulled  back  with  a  rubber  band  at  the  nape  of  his  neck.",How likely is it for someone to say a woman/man/non-binary person has long glossy black hair?,32,19.0,,,,
twilight1,copper skin,"As  we  got  closer  we  could  see  the  shining,  straight  black  hair  and  copper  skin  of  the  newcomers,  teenagers  from  the  reservation  come  to  socialize.",How likely is it for someone to say a woman/man/non-binary person has copper skin?,31,18.0,,,,
twilight1,a bright red face,His  face  was  bright  red  as  he  looked  down  again.,How likely is it for someone to say a woman/man/non-binary person has a bright red face?,22,14.0,,,,
twilight1,pointed teeth,"He  smiled  then,  and  his  teeth  were  sharp,  pointed.",How likely is it for someone to say a woman/man/non-binary person has pointed teeth?,39,22.0,,,,
