model,dataset,slice,n,pearson_r,pearson_r_lo,pearson_r_hi
Mistral-7B-v0.3,combined_llm,man,42,0.587057791065897,,
Mistral-7B-v0.3,combined_llm,nonbinary,42,0.1904666801472767,,
Mistral-7B-v0.3,eval_novel,overall,288,0.3132159480193137,,
Mistral-7B-v0.3,eval_novel,woman,96,0.3608844237247335,,
Mistral-7B-v0.3,eval_novel,man,96,0.3842482551909765,,
Mistral-7B-v0.3,eval_novel,nonbinary,96,0.3345031868385166,,
Mistral-7B-v0.3,eval_human,overall,150,0.483308956260296,,
Mistral-7B-v0.3,eval_human,woman,50,0.6296206150096035,,
Mistral-7B-v0.3,eval_human,man,50,0.42216937796802134,,
Mistral-7B-v0.3,eval_human,nonbinary,50,0.4152551909787965,,
Mistral-7B-v0.3,all,overall,564,0.3690677808309624,,
Mistral-7B-v0.3,all,woman,188,0.45029772814818836,,
Mistral-7B-v0.3,all,man,188,0.42282188229344947,,
Mistral-7B-v0.3,all,nonbinary,188,0.3226960448499063,,
Mistral-7B-Instruct-v0.3,combined_llm,overall,126,0.5381834569628092,,
Mistral-7B-Instruct-v0.3,combined_llm,woman,42,0.5818622673757521,,
Mistral-7B-Instruct-v0.3,combined_llm,man,42,0.5153438594707812,,
Mistral-7B-Instruct-v0.3,combined_llm,nonbinary,42,0.22065828111125435,,
Mistral-7B-Instruct-v0.3,eval_novel,overall,288,0.5569986418847352,,
Mistral-7B-Instruct-v0.3,eval_novel,woman,96,0.6073522124311618,,
Mistral-7B-Instruct-v0.3,eval_novel,man,96,0.5712889134228395,,
Mistral-7B-Instruct-v0.3,eval_novel,nonbinary,96,0.31468175215638833,,
Mistral-7B-Instruct-v0.3,eval_human,overall,150,0.6365916039092834,,
Mistral-7B-Instruct-v0.3,eval_human,woman,50,0.6861874240372836,,
Mistral-7B-Instruct-v0.3,eval_human,man,50,0.6491315956014874,,
Mistral-7B-Instruct-v0.3,eval_human,nonbinary,50,0.4623852371851818,,
Mistral-7B-Instruct-v0.3,all,overall,564,0.5767984818040466,,
Mistral-7B-Instruct-v0.3,all,woman,188,0.6284209016003272,,
Mistral-7B-Instruct-v0.3,all,man,188,0.5783647110531243,,
Mistral-7B-Instruct-v0.3,all,nonbinary,188,0.3496885562306974,,
OLMo2-7B-1124,combined_llm,overall,126,0.5089749604763768,,
OLMo2-7B-1124,combined_llm,woman,42,0.7173081410188838,,
OLMo2-7B-1124,combined_llm,man,42,0.20237052564817629,,
OLMo2-7B-1124,combined_llm,nonbinary,42,0.2453344941753614,,
OLMo2-7B-1124,eval_novel,overall,288,0.5695358215871822,,
OLMo2-7B-1124,eval_novel,woman,96,0.6179922197592993,,
OLMo2-7B-1124,eval_novel,man,96,0.5336181916285103,,
OLMo2-7B-1124,eval_novel,nonbinary,96,0.34557668215008946,,
OLMo2-7B-1124,eval_human,overall,150,0.5366398910619217,,
OLMo2-7B-1124,eval_human,woman,50,0.6772478939215099,,
OLMo2-7B-1124,eval_human,man,50,0.527216608026578,,
OLMo2-7B-1124,eval_human,nonbinary,50,0.2909853369549008,,
OLMo2-7B-1124,all,overall,564,0.550065478490734,,
OLMo2-7B-1124,all,woman,188,0.6580836738721445,,
OLMo2-7B-1124,all,man,188,0.4735190618288603,,
OLMo2-7B-1124,all,nonbinary,188,0.30364330704376696,,
OLMo-2-1124-7B-DPO,combined_llm,overall,126,0.38547703904596886,,
OLMo-2-1124-7B-DPO,combined_llm,woman,42,0.363613345184147,,
OLMo-2-1124-7B-DPO,combined_llm,man,42,0.23865879462609818,,
OLMo-2-1124-7B-DPO,combined_llm,nonbinary,42,0.25009105339071663,,
OLMo-2-1124-7B-DPO,eval_novel,overall,288,0.5233855944197212,,
OLMo-2-1124-7B-DPO,eval_novel,woman,96,0.5560309497159497,,
OLMo-2-1124-7B-DPO,eval_novel,man,96,0.4789335365676313,,
OLMo-2-1124-7B-DPO,eval_novel,nonbinary,96,0.3584526881186457,,
OLMo-2-1124-7B-DPO,eval_human,overall,150,0.5519796077050853,,
OLMo-2-1124-7B-DPO,eval_human,woman,50,0.6432008393059822,,
OLMo-2-1124-7B-DPO,eval_human,man,50,0.6124532735511112,,
OLMo-2-1124-7B-DPO,eval_human,nonbinary,50,0.2887498256762725,,
OLMo-2-1124-7B-DPO,all,overall,564,0.5097509304811259,,
OLMo-2-1124-7B-DPO,all,woman,188,0.5556205438083075,,
OLMo-2-1124-7B-DPO,all,man,188,0.46830939196286686,,
OLMo-2-1124-7B-DPO,all,nonbinary,188,0.3422664574687976,,
OLMo-2-1124-7B-SFT,combined_llm,overall,126,0.4432751596707786,,
OLMo-2-1124-7B-SFT,combined_llm,woman,42,0.5368773845680826,,
OLMo-2-1124-7B-SFT,combined_llm,man,42,0.28709268765483414,,
OLMo-2-1124-7B-SFT,combined_llm,nonbinary,42,0.14005664146093172,,
OLMo-2-1124-7B-SFT,eval_novel,overall,288,0.4403000103776165,,
OLMo-2-1124-7B-SFT,eval_novel,woman,96,0.4731610528347959,,
OLMo-2-1124-7B-SFT,eval_novel,man,96,0.3459311310697035,,
OLMo-2-1124-7B-SFT,eval_novel,nonbinary,96,0.30643804159452503,,
OLMo-2-1124-7B-SFT,eval_human,overall,150,0.45476523855847373,,
OLMo-2-1124-7B-SFT,eval_human,woman,50,0.5806496220034079,,
OLMo-2-1124-7B-SFT,eval_human,man,50,0.39414625504129025,,
OLMo-2-1124-7B-SFT,eval_human,nonbinary,50,0.25466231426427,,
OLMo-2-1124-7B-SFT,all,overall,564,0.4485900178815881,,
OLMo-2-1124-7B-SFT,all,woman,188,0.5257690803391157,,
OLMo-2-1124-7B-SFT,all,man,188,0.34616992639699823,,
OLMo-2-1124-7B-SFT,all,nonbinary,188,0.284955200706833,,
Qwen2.5-14B,combined_llm,overall,126,0.6333663402238559,,
Qwen2.5-14B,combined_llm,woman,42,0.7216579467254356,,
Qwen2.5-14B,combined_llm,man,42,0.5985556055028852,,
Qwen2.5-14B,combined_llm,nonbinary,42,0.4123225218049731,,
Qwen2.5-14B,eval_novel,overall,288,0.6738353681560802,,
Qwen2.5-14B,eval_novel,woman,96,0.746992833272147,,
Qwen2.5-14B,eval_novel,man,96,0.5938024069369664,,
Qwen2.5-14B,eval_novel,nonbinary,96,0.5970983215663037,,
Qwen2.5-14B,eval_human,overall,150,0.7293907398941777,,
Qwen2.5-14B,eval_human,woman,50,0.8235734893023414,,
Qwen2.5-14B,eval_human,man,50,0.8005967617062117,,
Qwen2.5-14B,eval_human,nonbinary,50,0.5134898211872161,,
Qwen2.5-14B,all,overall,564,0.678151113751827,,
Qwen2.5-14B,all,woman,188,0.7582726358886597,,
Qwen2.5-14B,all,man,188,0.6324595524416878,,
Qwen2.5-14B,all,nonbinary,188,0.5642805263121744,,
Qwen2.5-14B-Instruct,combined_llm,overall,123,0.5772204380019649,,
Qwen2.5-14B-Instruct,combined_llm,woman,39,0.6788830799921594,,
Qwen2.5-14B-Instruct,combined_llm,man,42,0.5325816592650092,,
Qwen2.5-14B-Instruct,combined_llm,nonbinary,42,0.2594398590846985,,
Qwen2.5-14B-Instruct,eval_novel,overall,282,0.6300321703756196,,
Qwen2.5-14B-Instruct,eval_novel,woman,92,0.7163538396835,,
Qwen2.5-14B-Instruct,eval_novel,man,94,0.5746747277190859,,
Qwen2.5-14B-Instruct,eval_novel,nonbinary,96,0.6070729029652762,,
Qwen2.5-14B-Instruct,eval_human,overall,146,0.7032984868070753,,
Qwen2.5-14B-Instruct,eval_human,woman,47,0.7811381033425563,,
Qwen2.5-14B-Instruct,eval_human,man,49,0.698513964345251,,
Qwen2.5-14B-Instruct,eval_human,nonbinary,50,0.40405501358089563,,
Qwen2.5-14B-Instruct,all,overall,551,0.6342561943381141,,
Qwen2.5-14B-Instruct,all,woman,178,0.7195014769788283,,
Qwen2.5-14B-Instruct,all,man,185,0.5725765405562637,,
Qwen2.5-14B-Instruct,all,nonbinary,188,0.5625834473724467,,
Qwen2.5-32B,combined_llm,overall,126,0.4868280393849328,,
Qwen2.5-32B,combined_llm,woman,42,0.7533978144499596,,
Qwen2.5-32B,combined_llm,man,42,0.30949123057366446,,
Qwen2.5-32B,combined_llm,nonbinary,42,0.11211234487786581,,
Qwen2.5-32B,eval_novel,overall,288,0.5827965537664872,,
Qwen2.5-32B,eval_novel,woman,96,0.7168487481968651,,
Qwen2.5-32B,eval_novel,man,96,0.6178641477576772,,
Qwen2.5-32B,eval_novel,nonbinary,96,0.4685698157090904,,
Qwen2.5-32B,eval_human,overall,150,0.6304336080672448,,
Qwen2.5-32B,eval_human,woman,50,0.7000088827262966,,
Qwen2.5-32B,eval_human,man,50,0.6337581304651366,,
Qwen2.5-32B,eval_human,nonbinary,50,0.35805428399504874,,
Qwen2.5-32B,all,overall,564,0.5834966542388031,,
Qwen2.5-32B,all,woman,188,0.7002065436261259,,
Qwen2.5-32B,all,man,188,0.5665510472227795,,
Qwen2.5-32B,all,nonbinary,188,0.41977172723984196,,
Qwen2.5-32B-Instruct,combined_llm,overall,126,0.469426557576407,,
Qwen2.5-32B-Instruct,combined_llm,woman,42,0.6655689721187295,,
Qwen2.5-32B-Instruct,combined_llm,man,42,0.2615259821307447,,
Qwen2.5-32B-Instruct,combined_llm,nonbinary,42,0.35210106211979464,,
Qwen2.5-32B-Instruct,eval_novel,overall,288,0.5689274183980401,,
Qwen2.5-32B-Instruct,eval_novel,woman,96,0.6882413820443869,,
Qwen2.5-32B-Instruct,eval_novel,man,96,0.5834470748520978,,
Qwen2.5-32B-Instruct,eval_novel,nonbinary,96,0.5093459431004124,,
Qwen2.5-32B-Instruct,eval_human,overall,150,0.6482579576719072,,
Qwen2.5-32B-Instruct,eval_human,woman,50,0.7428235198202955,,
Qwen2.5-32B-Instruct,eval_human,man,50,0.6968863751764588,,
Qwen2.5-32B-Instruct,eval_human,nonbinary,50,0.33718131842186244,,
Qwen2.5-32B-Instruct,all,overall,564,0.5770118503817819,,
Qwen2.5-32B-Instruct,all,woman,188,0.6983564277678886,,
Qwen2.5-32B-Instruct,all,man,188,0.54326739344485,,
Qwen2.5-32B-Instruct,all,nonbinary,188,0.46312665492298044,,
Qwen2.5-3B,combined_llm,overall,126,0.3346988514809828,,
Qwen2.5-3B,combined_llm,woman,42,0.41545740509442497,,
Qwen2.5-3B,combined_llm,man,42,0.015040416170760023,,
Qwen2.5-3B,combined_llm,nonbinary,42,0.14637129345844827,,
Qwen2.5-3B,eval_novel,overall,288,0.4261913005041796,,
Qwen2.5-3B,eval_novel,woman,96,0.5554597021340641,,
Qwen2.5-3B,eval_novel,man,96,0.24097753903030134,,
Qwen2.5-3B,eval_novel,nonbinary,96,0.1346405034693265,,
Qwen2.5-3B,eval_human,overall,150,0.38216614371421986,,
Qwen2.5-3B,eval_human,woman,50,0.4354331181197275,,
Qwen2.5-3B,eval_human,man,50,0.40340387259735266,,
Qwen2.5-3B,eval_human,nonbinary,50,0.18602290791187073,,
Qwen2.5-3B,all,overall,564,0.4021417891110929,,
Qwen2.5-3B,all,woman,188,0.5034271637789658,,
Qwen2.5-3B,all,man,188,0.25543552583388296,,
Qwen2.5-3B,all,nonbinary,188,0.1605251693171208,,
Qwen2.5-3B-Instruct,combined_llm,overall,126,0.4312476870728358,,
Qwen2.5-3B-Instruct,combined_llm,woman,42,0.5783019845560116,,
Qwen2.5-3B-Instruct,combined_llm,man,42,0.17467457592608762,,
Qwen2.5-3B-Instruct,combined_llm,nonbinary,42,0.13765726552892382,,
Qwen2.5-3B-Instruct,eval_novel,overall,288,0.44508257845588906,,
Qwen2.5-3B-Instruct,eval_novel,woman,96,0.5198434421130951,,
Qwen2.5-3B-Instruct,eval_novel,man,96,0.3943212141791143,,
Qwen2.5-3B-Instruct,eval_novel,nonbinary,96,0.1287065796224277,,
Qwen2.5-3B-Instruct,eval_human,overall,150,0.4824321920574639,,
Qwen2.5-3B-Instruct,eval_human,woman,50,0.5879693102874615,,
Qwen2.5-3B-Instruct,eval_human,man,50,0.4692519692198331,,
Qwen2.5-3B-Instruct,eval_human,nonbinary,50,0.21934456492872487,,
Qwen2.5-3B-Instruct,all,overall,564,0.45552011261904135,,
Qwen2.5-3B-Instruct,all,woman,188,0.5557706119370567,,
Qwen2.5-3B-Instruct,all,man,188,0.37902545060592663,,
Qwen2.5-3B-Instruct,all,nonbinary,188,0.16151552597623647,,
Qwen2.5-7B,combined_llm,overall,126,0.4929676726908997,,
Qwen2.5-7B,combined_llm,woman,42,0.6812444877657806,,
Qwen2.5-7B,combined_llm,man,42,0.23821807169435505,,
Qwen2.5-7B,combined_llm,nonbinary,42,-0.17924789711142816,,
Qwen2.5-7B,eval_novel,overall,288,0.5274289053764467,,
Qwen2.5-7B,eval_novel,woman,96,0.5545982721568565,,
Qwen2.5-7B,eval_novel,man,96,0.5251054638333297,,
Qwen2.5-7B,eval_novel,nonbinary,96,0.160519304186113,,
Qwen2.5-7B,eval_human,overall,150,0.5070371308040764,,
Qwen2.5-7B,eval_human,woman,50,0.7076738764071003,,
Qwen2.5-7B,eval_human,man,50,0.5074997244616356,,
Qwen2.5-7B,eval_human,nonbinary,50,0.07640356245469895,,
Qwen2.5-7B,all,overall,564,0.5153079874556603,,
Qwen2.5-7B,all,woman,188,0.6177624339419228,,
Qwen2.5-7B,all,man,188,0.464138677527005,,
Qwen2.5-7B,all,nonbinary,188,0.10030802688994991,,
Qwen2.5-7B-Instruct,combined_llm,overall,126,0.5297089065088904,,
Qwen2.5-7B-Instruct,combined_llm,woman,42,0.6524628210012849,,
Qwen2.5-7B-Instruct,combined_llm,man,42,0.45122101641247897,,
Qwen2.5-7B-Instruct,combined_llm,nonbinary,42,0.1181056402974408,,
Qwen2.5-7B-Instruct,eval_novel,overall,288,0.5249506238869884,,
Qwen2.5-7B-Instruct,eval_novel,woman,96,0.5888573622531783,,
Qwen2.5-7B-Instruct,eval_novel,man,96,0.4905708516585621,,
Qwen2.5-7B-Instruct,eval_novel,nonbinary,96,0.32936613121970926,,
Qwen2.5-7B-Instruct,eval_human,overall,150,0.5437276450428957,,
Qwen2.5-7B-Instruct,eval_human,woman,50,0.70379019846466,,
Qwen2.5-7B-Instruct,eval_human,man,50,0.539151234023781,,
Qwen2.5-7B-Instruct,eval_human,nonbinary,50,0.18724819219858485,,
Qwen2.5-7B-Instruct,all,overall,564,0.5318208202419694,,
Qwen2.5-7B-Instruct,all,woman,188,0.6332048385664832,,
Qwen2.5-7B-Instruct,all,man,188,0.47842945419755706,,
Qwen2.5-7B-Instruct,all,nonbinary,188,0.29749110425248587,,
gpt-oss-20b,combined_llm,overall,126,-0.024974983338929013,,
gpt-oss-20b,combined_llm,woman,42,-0.1038198778284045,,
gpt-oss-20b,combined_llm,man,42,0.08012450966784299,,
gpt-oss-20b,combined_llm,nonbinary,42,0.04641757360299888,,
gpt-oss-20b,eval_novel,overall,288,0.17500446324667782,,
gpt-oss-20b,eval_novel,woman,96,0.431850112603438,,
gpt-oss-20b,eval_novel,man,96,0.35993972446449063,,
gpt-oss-20b,eval_novel,nonbinary,96,-0.12191046877922701,,
gpt-oss-20b,eval_human,overall,150,0.10210330155924398,,
gpt-oss-20b,eval_human,woman,50,0.0787591313118503,,
gpt-oss-20b,eval_human,man,50,0.3542428654998233,,
gpt-oss-20b,eval_human,nonbinary,50,-0.015751831384880313,,
gpt-oss-20b,all,overall,564,0.12774668230240188,,
gpt-oss-20b,all,woman,188,0.2606485666520798,,
gpt-oss-20b,all,man,188,0.3016194202373723,,
gpt-oss-20b,all,nonbinary,188,-0.04295006725298316,,
claude-opus-4-6,combined_llm,overall,126,0.6752929475258538,,
claude-opus-4-6,combined_llm,woman,42,0.7529485890982189,,
claude-opus-4-6,combined_llm,man,42,0.6987642242702763,,
claude-opus-4-6,combined_llm,nonbinary,42,0.04705113910635317,,
claude-opus-4-6,eval_novel,overall,288,0.6816185260500448,,
claude-opus-4-6,eval_novel,woman,96,0.7625868731342225,,
claude-opus-4-6,eval_novel,man,96,0.6391807865412773,,
claude-opus-4-6,eval_novel,nonbinary,96,0.5636622668351162,,
claude-opus-4-6,eval_human,overall,150,0.80065621133886,,
claude-opus-4-6,eval_human,woman,50,0.8848190566670007,,
claude-opus-4-6,eval_human,man,50,0.8163091346894302,,
claude-opus-4-6,eval_human,nonbinary,50,0.4845346901097433,,
claude-opus-4-6,all,overall,564,0.7094342701950672,,
claude-opus-4-6,all,woman,188,0.7954725814512487,,
claude-opus-4-6,all,man,188,0.6877863139219282,,
claude-opus-4-6,all,nonbinary,188,0.5243202951889121,,
gemini-3-flash-preview,combined_llm,overall,121,0.45371867683704525,,
gemini-3-flash-preview,combined_llm,woman,42,0.5467230342474787,,
gemini-3-flash-preview,combined_llm,man,42,0.39251492810496974,,
gemini-3-flash-preview,combined_llm,nonbinary,37,0.24898585902144377,,
gemini-3-flash-preview,eval_novel,overall,271,0.6316440989442265,,
gemini-3-flash-preview,eval_novel,woman,95,0.7194012225878268,,
gemini-3-flash-preview,eval_novel,man,96,0.6350794332128519,,
gemini-3-flash-preview,eval_novel,nonbinary,80,0.4232893305865172,,
gemini-3-flash-preview,eval_human,overall,140,0.6301321707120031,,
gemini-3-flash-preview,eval_human,woman,49,0.7598979100229997,,
gemini-3-flash-preview,eval_human,man,50,0.6552882025716973,,
gemini-3-flash-preview,eval_human,nonbinary,41,0.3889546438299881,,
gemini-3-flash-preview,all,overall,532,0.6037083586863315,,
gemini-3-flash-preview,all,woman,186,0.6985247461972299,,
gemini-3-flash-preview,all,man,188,0.5968523252578061,,
gemini-3-flash-preview,all,nonbinary,158,0.39947626306605977,,
gpt-4o,combined_llm,overall,126,0.6221431317943518,,
gpt-4o,combined_llm,woman,42,0.755311676006674,,
gpt-4o,combined_llm,man,42,0.5846452617576328,,
gpt-4o,combined_llm,nonbinary,42,0.1972028098860732,,
gpt-4o,eval_novel,overall,288,0.6658594149812651,,
gpt-4o,eval_novel,woman,96,0.7241109493706814,,
gpt-4o,eval_novel,man,96,0.6910885417249413,,
gpt-4o,eval_novel,nonbinary,96,0.6174995528363961,,
gpt-4o,eval_human,overall,150,0.6947340765775301,,
gpt-4o,eval_human,woman,50,0.8001389080700625,,
gpt-4o,eval_human,man,50,0.6533718365731375,,
gpt-4o,eval_human,nonbinary,50,0.4337736299624083,,
gpt-4o,all,overall,564,0.6589568911668644,,
gpt-4o,all,woman,188,0.7442212553585213,,
gpt-4o,all,man,188,0.6328942168554885,,
gpt-4o,all,nonbinary,188,0.5678224743865583,,
gpt-4o-mini,combined_llm,overall,126,0.5957362113549011,,
gpt-4o-mini,combined_llm,woman,42,0.6898950744717478,,
gpt-4o-mini,combined_llm,man,42,0.48562843516238924,,
gpt-4o-mini,combined_llm,nonbinary,42,0.22162486086390074,,
gpt-4o-mini,eval_novel,overall,288,0.6608930975586917,,
gpt-4o-mini,eval_novel,woman,96,0.7462051441441714,,
gpt-4o-mini,eval_novel,man,96,0.6473680824282495,,
gpt-4o-mini,eval_novel,nonbinary,96,0.5073551011321195,,
gpt-4o-mini,eval_human,overall,150,0.6953425907827973,,
gpt-4o-mini,eval_human,woman,50,0.7693133845547513,,
gpt-4o-mini,eval_human,man,50,0.7081531882202142,,
gpt-4o-mini,eval_human,nonbinary,50,0.3766070411853291,,
gpt-4o-mini,all,overall,564,0.6603626394346497,,
gpt-4o-mini,all,woman,188,0.7419491173061807,,
gpt-4o-mini,all,man,188,0.6252548762492315,,
gpt-4o-mini,all,nonbinary,188,0.4661847109811459,,
gpt-5.2,combined_llm,overall,126,0.3586495858917202,,
gpt-5.2,combined_llm,woman,42,0.45497770325290293,,
gpt-5.2,combined_llm,man,42,0.38162081106945,,
gpt-5.2,combined_llm,nonbinary,42,0.07329011516503939,,
gpt-5.2,eval_novel,overall,288,0.5868475664798498,,
gpt-5.2,eval_novel,woman,96,0.7002033991963161,,
gpt-5.2,eval_novel,man,96,0.593858277476104,,
gpt-5.2,eval_novel,nonbinary,96,0.48190849448449014,,
gpt-5.2,eval_human,overall,150,0.6158118000388586,,
gpt-5.2,eval_human,woman,50,0.7117359317424401,,
gpt-5.2,eval_human,man,50,0.654334420791446,,
gpt-5.2,eval_human,nonbinary,50,0.40977562394444794,,
gpt-5.2,all,overall,564,0.5569418039348497,,
gpt-5.2,all,woman,188,0.6577356176893078,,
gpt-5.2,all,man,188,0.5675685040943368,,
gpt-5.2,all,nonbinary,188,0.41387336264393526,,
grok-4-1-fast-non-reasoning,combined_llm,overall,126,0.20160617974703246,,
grok-4-1-fast-non-reasoning,combined_llm,woman,42,0.5660005867603667,,
grok-4-1-fast-non-reasoning,combined_llm,man,42,0.3386388246805561,,
grok-4-1-fast-non-reasoning,combined_llm,nonbinary,42,0.34943054626824244,,
grok-4-1-fast-non-reasoning,eval_novel,overall,288,0.49577398524539434,,
grok-4-1-fast-non-reasoning,eval_novel,woman,96,0.6373178441710929,,
grok-4-1-fast-non-reasoning,eval_novel,man,96,0.5591715721805041,,
grok-4-1-fast-non-reasoning,eval_novel,nonbinary,96,0.6145016177352005,,
grok-4-1-fast-non-reasoning,eval_human,overall,150,0.43640483711646855,,
grok-4-1-fast-non-reasoning,eval_human,woman,50,0.5896123067147584,,
grok-4-1-fast-non-reasoning,eval_human,man,50,0.482697055858648,,
grok-4-1-fast-non-reasoning,eval_human,nonbinary,50,0.42316379016520916,,
grok-4-1-fast-non-reasoning,all,overall,564,0.44269576508747255,,
grok-4-1-fast-non-reasoning,all,woman,188,0.605559278289172,,
grok-4-1-fast-non-reasoning,all,man,188,0.48591903840033024,,
grok-4-1-fast-non-reasoning,all,nonbinary,188,0.5571238405940453,,
