model,dataset,m1_n,m1_rmse,m1_pearson_r,m1_pearson_p,m1_pearson_r_lo,m1_pearson_r_hi,m1_spearman_r,m1_spearman_p,m1_invalid,m1_pct_invalid,m2_n,m2_rmse,m2_pearson_r,m2_pearson_p,m2_spearman_r,m2_spearman_p,m2_invalid,m2_pct_invalid,agreement
Qwen2.5-14B-Instruct,eval_human,146,0.8311679378712532,0.7032984868070753,4.2838488642276556e-23,,,0.6498963215396737,6.985894215839663e-19,4,0.02666666666666667,143.0,0.8246489967548734,0.7006428685708451,2.030303622626558e-22,0.6494557722371286,1.725154377976457e-18,7,0.04666666666666667,1.0
Qwen2.5-14B-Instruct,all,551,1.0078448728696423,0.6342561943381141,2.382249749651469e-63,,,0.6055962420843787,1.9116803061470882e-56,13,0.02304964539007092,539.0,0.9908719948170375,0.6415513699749282,7.72380940441229e-64,0.6145066579097996,2.825764414180099e-57,25,0.044326241134751775,1.0
Qwen2.5-32B,combined_llm,126,0.9716248834746581,0.4868280393849328,7.463998081789631e-09,,,0.5083831959427724,1.222797167010604e-09,0,0.0,126.0,0.9716248834746581,0.4868280393849328,7.463998081789631e-09,0.5083831959427724,1.222797167010604e-09,0,0.0,1.0
Qwen2.5-32B,eval_novel,288,1.3251181989951875,0.5827965537664872,1.356790495842458e-27,,,0.5668918053971784,6.928072413141218e-26,0,0.0,288.0,1.3251181989951875,0.5827965537664872,1.356790495842458e-27,0.5668918053971784,6.928072413141218e-26,0,0.0,1.0
Qwen2.5-32B,eval_human,150,1.0587802936943418,0.6304336080672448,5.392927485876481e-18,,,0.6079805425805206,1.5737006795614345e-16,0,0.0,150.0,1.0587802936943418,0.6304336080672448,5.392927485876481e-18,0.6079805425805206,1.5737006795614345e-16,0,0.0,1.0
Qwen2.5-32B,all,564,1.1856212194215698,0.5834966542388031,9.216740448993537e-53,,,0.5690443249366455,1.0451909520679112e-49,0,0.0,564.0,1.1856212194215698,0.5834966542388031,9.216740448993537e-53,0.5690443249366455,1.0451909520679112e-49,0,0.0,1.0
Qwen2.5-32B-Instruct,combined_llm,126,1.0558340783500044,0.469426557576407,2.9425686462210266e-08,,,0.4646050657298349,4.2462811397626214e-08,0,0.0,126.0,1.0558340783500044,0.469426557576407,2.9425686462210266e-08,0.4646050657298349,4.2462811397626214e-08,0,0.0,1.0
Qwen2.5-32B-Instruct,eval_novel,288,1.3298559596763335,0.5689274183980401,4.237792162473198e-26,,,0.5494152145114147,4.112410679755065e-24,0,0.0,288.0,1.3298559596763335,0.5689274183980401,4.237792162473198e-26,0.5494152145114147,4.112410679755065e-24,0,0.0,1.0
Qwen2.5-32B-Instruct,eval_human,150,1.0646228290785513,0.6482579576719072,3.026078758884796e-19,,,0.6198989814341809,2.7156081786668397e-17,0,0.0,150.0,1.0646228290785513,0.6482579576719072,3.026078758884796e-19,0.6198989814341809,2.7156081786668397e-17,0,0.0,1.0
Qwen2.5-32B-Instruct,all,564,1.205637695452165,0.5770118503817819,2.2594972235125705e-51,,,0.555995520501711,4.4698525123783705e-47,0,0.0,564.0,1.205637695452165,0.5770118503817819,2.2594972235125705e-51,0.555995520501711,4.4698525123783705e-47,0,0.0,1.0
Qwen2.5-3B,combined_llm,126,1.8959300621804942,0.3346988514809828,0.00012781610730252166,,,0.32479640955916517,0.00020675397628048197,0,0.0,126.0,1.8959300621804942,0.3346988514809828,0.00012781610730252166,0.32479640955916517,0.00020675397628048197,0,0.0,1.0
Qwen2.5-3B,eval_novel,288,1.988603180163426,0.4261913005041796,3.875667689218981e-14,,,0.4122727505930898,3.0312068138742756e-13,0,0.0,288.0,1.988603180163426,0.4261913005041796,3.875667689218981e-14,0.4122727505930898,3.0312068138742756e-13,0,0.0,1.0
Qwen2.5-3B,eval_human,150,2.0194400789437132,0.38216614371421986,1.3939301061204733e-06,,,0.3899124546579056,8.134223046309055e-07,0,0.0,150.0,2.0194400789437132,0.38216614371421986,1.3939301061204733e-06,0.3899124546579056,8.134223046309055e-07,0,0.0,1.0
Qwen2.5-3B,all,564,1.9766107566129976,0.4021417891110929,2.4616275685380593e-23,,,0.39195661361796197,3.7491458897447713e-22,0,0.0,564.0,1.9766107566129976,0.4021417891110929,2.4616275685380593e-23,0.39195661361796197,3.7491458897447713e-22,0,0.0,1.0
Qwen2.5-3B-Instruct,combined_llm,126,1.8656689678618006,0.4312476870728358,4.62600723257543e-07,,,0.42993102455054166,5.057276213231867e-07,0,0.0,126.0,1.8656689678618006,0.4312476870728358,4.62600723257543e-07,0.42993102455054166,5.057276213231867e-07,0,0.0,1.0
Qwen2.5-3B-Instruct,eval_novel,288,1.9824951673064573,0.44508257845588906,2.0339422431018437e-15,,,0.4281875307792107,2.863013672030964e-14,0,0.0,288.0,1.9824951673064573,0.44508257845588906,2.0339422431018437e-15,0.4281875307792107,2.863013672030964e-14,0,0.0,1.0
Qwen2.5-3B-Instruct,eval_human,150,1.8698885554990978,0.4824321920574639,4.06703791620974e-10,,,0.48618136075093826,2.841959132774116e-10,0,0.0,150.0,1.8698885554990978,0.4824321920574639,4.06703791620974e-10,0.48618136075093826,2.841959132774116e-10,0,0.0,1.0
Qwen2.5-3B-Instruct,all,564,1.9272982830206857,0.45552011261904135,3.0513572685649326e-30,,,0.4483144231649857,3.090987156002876e-29,0,0.0,564.0,1.9272982830206857,0.45552011261904135,3.0513572685649326e-30,0.4483144231649857,3.090987156002876e-29,0,0.0,1.0
Qwen2.5-7B,combined_llm,126,2.2706483672120346,0.4929676726908997,4.51563820976141e-09,,,0.4459422862478728,1.66690527636449e-07,0,0.0,126.0,2.2706483672120346,0.4929676726908997,4.51563820976141e-09,0.4459422862478728,1.66690527636449e-07,0,0.0,1.0
Qwen2.5-7B,eval_novel,288,2.4054641169339073,0.5274289053764467,5.042096886681745e-22,,,0.49890813224855374,1.5664915970159556e-19,0,0.0,288.0,2.4054641169339073,0.5274289053764467,5.042096886681745e-22,0.49890813224855374,1.5664915970159556e-19,0,0.0,1.0
Qwen2.5-7B,eval_human,150,2.214168203972365,0.5070371308040764,3.568266437866712e-11,,,0.4885138870295578,2.2689273938269631e-10,0,0.0,150.0,2.214168203972365,0.5070371308040764,3.568266437866712e-11,0.4885138870295578,2.2689273938269631e-10,0,0.0,1.0
Qwen2.5-7B,all,564,2.3260243927256607,0.5153079874556603,1.410494204853225e-39,,,0.4854154915463818,1.1140647355534175e-34,0,0.0,564.0,2.3260243927256607,0.5153079874556603,1.410494204853225e-39,0.4854154915463818,1.1140647355534175e-34,0,0.0,1.0
Qwen2.5-7B-Instruct,combined_llm,126,1.39953455753308,0.5297089065088904,1.7962493634565166e-10,,,0.5025886474193549,2.013409910332168e-09,0,0.0,126.0,1.39953455753308,0.5297089065088904,1.7962493634565166e-10,0.5025886474193549,2.013409910332168e-09,0,0.0,1.0
Qwen2.5-7B-Instruct,eval_novel,288,1.6793547428967797,0.5249506238869884,8.483970523313692e-22,,,0.5263552423416923,6.320382196236652e-22,0,0.0,288.0,1.6793547428967797,0.5249506238869884,8.483970523313692e-22,0.5263552423416923,6.320382196236652e-22,0,0.0,1.0
Qwen2.5-7B-Instruct,eval_human,150,1.442662900438099,0.5437276450428957,6.469417582196153e-13,,,0.56064212672205,8.595956509021107e-14,0,0.0,150.0,1.442662900438099,0.5437276450428957,6.469417582196153e-13,0.56064212672205,8.595956509021107e-14,0,0.0,1.0
Qwen2.5-7B-Instruct,all,564,1.559240457345434,0.5318208202419694,1.692077978048241e-42,,,0.5304578437146945,2.9898417228625296e-42,0,0.0,564.0,1.559240457345434,0.5318208202419694,1.692077978048241e-42,0.5304578437146945,2.9898417228625296e-42,0,0.0,1.0
gpt-oss-20b,combined_llm,126,1.2064535247490542,-0.024974983338929013,0.7813249332223874,,,-0.0052097960503088726,0.9538303681512461,0,0.0,126.0,1.2064535247490542,-0.024974983338929013,0.7813249332223874,-0.0052097960503088726,0.9538303681512461,0,0.0,1.0
gpt-oss-20b,eval_novel,288,1.303923466673209,0.17500446324667782,0.0028821156238351235,,,0.22922904349901543,8.650472763620386e-05,0,0.0,288.0,1.303923466673209,0.17500446324667782,0.0028821156238351235,0.22922904349901543,8.650472763620386e-05,0,0.0,1.0
gpt-oss-20b,eval_human,150,1.3442247049358327,0.10210330155924398,0.2137587920428379,,,0.13949026420054425,0.08867258664730863,0,0.0,150.0,1.3442247049358327,0.10210330155924398,0.2137587920428379,0.13949026420054425,0.08867258664730863,0,0.0,1.0
gpt-oss-20b,all,564,1.293806939222449,0.12774668230240188,0.002369342205820493,,,0.1621908268900195,0.00010931903577757906,0,0.0,564.0,1.293806939222449,0.12774668230240188,0.002369342205820493,0.1621908268900195,0.00010931903577757906,0,0.0,1.0
claude-opus-4-6,combined_llm,126,0.8475673698614754,0.6752929475258538,4.2359918088126776e-18,,,0.6448042432419094,3.700765637726875e-16,0,0.0,,,,,,,126,1.0,
claude-opus-4-6,eval_novel,288,1.0968887006049668,0.6816185260500448,1.0931484286414067e-40,,,0.651234144700624,3.860208473675305e-36,0,0.0,,,,,,,288,1.0,
claude-opus-4-6,eval_human,150,0.7642674757958365,0.80065621133886,9.627262585809653e-35,,,0.7901723797660707,2.809857733805378e-33,0,0.0,,,,,,,150,1.0,
claude-opus-4-6,all,564,0.9644770944205999,0.7094342701950672,1.898497079589577e-87,,,0.6828283888448651,1.1819058561925734e-78,0,0.0,,,,,,,564,1.0,
gemini-3-flash-preview,combined_llm,121,1.1716829296198683,0.45371867683704525,1.7275181524477463e-07,,,0.51643238689345,1.3336610788976528e-09,5,0.03968253968253968,,,,,,,126,1.0,
gemini-3-flash-preview,eval_novel,271,1.2514464647228023,0.6316440989442265,1.396122468996351e-31,,,0.6127230441989749,2.5262371931538943e-29,17,0.059027777777777776,,,,,,,288,1.0,
gemini-3-flash-preview,eval_human,140,1.1418954109855897,0.6301321707120031,7.341387603763236e-17,,,0.6407677488768669,1.5111746553748658e-17,10,0.06666666666666667,,,,,,,150,1.0,
gemini-3-flash-preview,all,532,1.2054710123622367,0.6037083586863315,3.8863224069703894e-54,,,0.6004117327065907,2.034661720776265e-53,32,0.05673758865248227,,,,,,,564,1.0,
gpt-4o,combined_llm,126,0.9125767673649368,0.6221431317943518,7.498711632339662e-15,,,0.5932296086691208,2.4883649212370907e-13,0,0.0,126.0,0.9125767673649368,0.6221431317943518,7.498711632339662e-15,0.5932296086691208,2.4883649212370907e-13,0,0.0,1.0
gpt-4o,eval_novel,288,1.163344770910305,0.6658594149812651,2.9126287919915465e-38,,,0.631744556222161,1.7345504991982292e-33,0,0.0,288.0,1.163344770910305,0.6658594149812651,2.9126287919915465e-38,0.631744556222161,1.7345504991982292e-33,0,0.0,1.0
gpt-4o,eval_human,150,0.8907244447540285,0.6947340765775301,6.178999995990127e-23,,,0.672260721242298,4.557195995083987e-21,0,0.0,150.0,0.8907244447540285,0.6947340765775301,6.178999995990127e-23,0.672260721242298,4.557195995083987e-21,0,0.0,1.0
gpt-4o,all,564,1.0431401299313854,0.6589568911668644,1.5852388228194934e-71,,,0.62620879258489,9.512343193496353e-63,0,0.0,564.0,1.0431401299313854,0.6589568911668644,1.5852388228194934e-71,0.62620879258489,9.512343193496353e-63,0,0.0,1.0
gpt-4o-mini,combined_llm,126,0.7628838126432528,0.5957362113549011,1.8623045511563732e-13,,,0.5779377582535931,1.3828132238136906e-12,0,0.0,126.0,0.7628838126432528,0.5957362113549011,1.8623045511563732e-13,0.5779377582535931,1.3828132238136906e-12,0,0.0,1.0
gpt-4o-mini,eval_novel,288,0.9124334170052062,0.6608930975586917,1.5787783848052473e-37,,,0.6142565010738251,2.9063588700209506e-31,0,0.0,288.0,0.9124334170052062,0.6608930975586917,1.5787783848052473e-37,0.6142565010738251,2.9063588700209506e-31,0,0.0,1.0
gpt-4o-mini,eval_human,150,0.820501152999431,0.6953425907827973,5.469635472547285e-23,,,0.6502410129269502,2.170385449292972e-19,0,0.0,150.0,0.820501152999431,0.6953425907827973,5.469635472547285e-23,0.6502410129269502,2.170385449292972e-19,0,0.0,1.0
gpt-4o-mini,all,564,0.8568500392502982,0.6603626394346497,6.287517479204692e-72,,,0.6161526868766178,2.9378670579746966e-60,0,0.0,564.0,0.8568500392502982,0.6603626394346497,6.287517479204692e-72,0.6161526868766178,2.9378670579746966e-60,0,0.0,1.0
gpt-5.2,combined_llm,126,1.2534238749537763,0.3586495858917202,3.727359917757664e-05,,,0.4672316812872801,3.479692461686919e-08,0,0.0,,,,,,,126,1.0,
gpt-5.2,eval_novel,288,1.32753466919331,0.5868475664798498,4.812127643056213e-28,,,0.5710116687539661,2.55286826156451e-26,0,0.0,,,,,,,288,1.0,
gpt-5.2,eval_human,150,1.1074245594605312,0.6158118000388586,5.0024661217504794e-17,,,0.6148121735916404,5.800816602559577e-17,0,0.0,,,,,,,150,1.0,
gpt-5.2,all,564,1.2558160303185966,0.5569418039348497,2.906627371956253e-47,,,0.5532225270845739,1.5651661266160437e-46,0,0.0,,,,,,,564,1.0,
grok-4-1-fast-non-reasoning,combined_llm,126,1.6974704200861606,0.20160617974703246,0.023588447389987006,,,0.1939777232824874,0.029524584268954435,0,0.0,,,,,,,126,1.0,
grok-4-1-fast-non-reasoning,eval_novel,288,1.5748207966148051,0.49577398524539434,2.8498888355450325e-19,,,0.5201536157960114,2.29508183115424e-21,0,0.0,,,,,,,288,1.0,
grok-4-1-fast-non-reasoning,eval_human,150,1.645401437349534,0.43640483711646855,2.3697546176145364e-08,,,0.4118584847759574,1.6381288450259345e-07,0,0.0,,,,,,,150,1.0,
grok-4-1-fast-non-reasoning,all,564,1.621780200001006,0.44269576508747255,1.8101921638213798e-28,,,0.4341049577087829,2.5354603729539152e-27,0,0.0,,,,,,,564,1.0,
