attribute,person_term,generation,method1_rating,method2_rating,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
defined eyebrows,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.5
defined eyebrows,woman,6,6.0,,gemini-3-flash-preview,,,,,,,,6.083333333333333
downturned eyes,man,4,4.0,,gemini-3-flash-preview,,,,,,,,4.2727272727272725
downturned eyes,nonbinary person,1,1.0,,gemini-3-flash-preview,,,,,,,,3.625
downturned eyes,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,3.555555555555556
emerald eyes,man,3,3.0,,gemini-3-flash-preview,,,,,,,,3.65
emerald eyes,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.181818181818182
emerald eyes,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,3.75
full cheeks,man,4,4.0,,gemini-3-flash-preview,,,,,,,,3.5384615384615383
full cheeks,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.0
full cheeks,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,5.333333333333333
hollow cheeks,man,4,4.0,,gemini-3-flash-preview,,,,,,,,4.0
hollow cheeks,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.571428571428572
hollow cheeks,woman,3,3.0,,gemini-3-flash-preview,,,,,,,,3.923076923076923
hooded eyes,man,4,4.0,,gemini-3-flash-preview,,,,,,,,3.8333333333333335
hooded eyes,nonbinary person,Answer: 4,4.0,,gemini-3-flash-preview,,,,,,,,3.6666666666666665
hooded eyes,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,4.222222222222222
intense eyes,man,5,5.0,,gemini-3-flash-preview,,,,,,,,5.3478260869565215
intense eyes,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.157894736842105
intense eyes,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,5.916666666666667
olive skin,man,6,6.0,,gemini-3-flash-preview,,,,,,,,4.0
olive skin,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.307692307692308
olive skin,woman,6,6.0,,gemini-3-flash-preview,,,,,,,,5.533333333333333
piercing eyes,man,5,5.0,,gemini-3-flash-preview,,,,,,,,5.333333333333333
piercing eyes,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.733333333333333
piercing eyes,woman,6,6.0,,gemini-3-flash-preview,,,,,,,,5.0
plump lips,man,3,3.0,,gemini-3-flash-preview,,,,,,,,3.4
plump lips,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.4545454545454546
plump lips,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,5.681818181818182
sleepy eyes,man,4,4.0,,gemini-3-flash-preview,,,,,,,,4.444444444444445
sleepy eyes,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.692307692307693
sleepy eyes,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,4.411764705882353
sloped shoulders,man,3,3.0,,gemini-3-flash-preview,,,,,,,,4.8
sloped shoulders,nonbinary person,1,1.0,,gemini-3-flash-preview,,,,,,,,3.6666666666666665
sloped shoulders,woman,3,3.0,,gemini-3-flash-preview,,,,,,,,3.4545454545454546
square shoulders,man,6,6.0,,gemini-3-flash-preview,,,,,,,,5.6875
square shoulders,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,4.352941176470588
square shoulders,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,3.1333333333333333
sun-damaged skin,man,4,4.0,,gemini-3-flash-preview,,,,,,,,5.166666666666667
sun-damaged skin,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.6
sun-damaged skin,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,5.8
sun-kissed skin,man,5,5.0,,gemini-3-flash-preview,,,,,,,,3.1666666666666665
sun-kissed skin,nonbinary person,6,6.0,,gemini-3-flash-preview,,,,,,,,3.5
sun-kissed skin,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,6.05
tousled curls,man,5,5.0,,gemini-3-flash-preview,,,,,,,,3.0
tousled curls,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.263157894736842
tousled curls,woman,5,5.0,,gemini-3-flash-preview,,,,,,,,5.125
upturned eyes,man,4,4.0,,gemini-3-flash-preview,,,,,,,,3.75
upturned eyes,nonbinary person,4,4.0,,gemini-3-flash-preview,,,,,,,,3.066666666666667
upturned eyes,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,4.3125
wide-set eyes,man,5,5.0,,gemini-3-flash-preview,,,,,,,,4.476190476190476
wide-set eyes,nonbinary person,1,1.0,,gemini-3-flash-preview,,,,,,,,3.6666666666666665
wide-set eyes,woman,4,4.0,,gemini-3-flash-preview,,,,,,,,4.375
