source_novel,attribute,text,llm_gender,intext_gender,llm_reasoning,gender_match,indomain_strct,text_id,attribute_text_id,replacement
harrypotter1,a small hand,"One small hand closed on the letter beside him and he slept on, not knowing he was special, not knowing he was famous, not knowing he would be woken in a few hours' time by Mrs. Dursley's scream as she opened the front door to put out the milk bottles, nor that he would spend the next few weeks being prodded and pinched by his cousin Dudley...",unknown,evidence for both,The description of the hand does not provide any indication of the person's gender as it lacks context that specifies whether it is male or female.,FALSE,TRUE,8,7,
harrypotter1,a red face,"""Say that again,"" Ron said, his face as red as his hair.",male,male,"The attribute describes 'his face', where 'his' clearly refers to Ron, who is a common male name.",TRUE,TRUE,39,25,
harrypotter1,a wide smile,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today!",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a wide smile'), explicitly suggesting the person's gender as male.",TRUE,TRUE,1,1,
harrypotter1,wide eyes,Hermione's eyes were wide.,female,unknown,"The text uses the pronoun 'Hermione's' to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.",FALSE,TRUE,65,34,
harrypotter1,a fat wrist,"The lighted dial of Dudley's watch, which was dangling over the edge of the sofa on his fat wrist, told Harry he'd be eleven in ten minutes' time.",male,male,"The text mentions 'his' to describe the wrist, indicating it belongs to a male character named Dudley.",TRUE,TRUE,20,15,
harrypotter1,a thin face,"Harry had a thin face, knobbly knees, black hair, and bright green eyes.",male,unknown,"The name 'Harry' is a common male name, indicating the person's gender as male.",FALSE,TRUE,9,8,
harrypotter1,long fingers,He stroked the door gently with one of his long fingers and it simply melted away.,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('long fingers'), explicitly suggesting the person's gender as male.",TRUE,TRUE,26,18,
harrypotter1,silver hair,"He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.",male,male,"The text uses 'his' to refer to the person with the attribute 'silver hair', indicating a male.",TRUE,TRUE,2,2,replaced
harrypotter1,bushy black hair,"He looked simply too big to be allowed, and so wild - long tangles of bushy black hair and beard hid most of his face, he had hands the size of trash can lids, and his feet in their leather boots were like baby dolphins.",male,male,"The text uses the pronoun 'he' to describe the person with 'bushy black hair', explicitly suggesting the person's gender as male.",TRUE,FALSE,5,5,
harrypotter1,vast muscular arms,"In his vast, muscular arms he was holding a bundle of blankets.",male,male,"The text uses the pronoun 'his' to describe the person's arms, explicitly suggesting the person's gender as male.",TRUE,FALSE,6,6,replaced
harrypotter1,small watery blue eyes,"He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.",male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('small watery blue eyes'), explicitly suggesting the person's gender as male.",TRUE,FALSE,11,10,
harrypotter1,large front teeth,"She had a bossy sort of voice, lots of bushy brown hair, and rather large front teeth.",female,female,"The text uses the pronoun 'She' to refer to the person with the current attribute ('large front teeth'), explicitly suggesting the person's gender as female.",TRUE,FALSE,37,23,
harrypotter1,short gray hair,"She had short, gray hair, and yellow eyes like a hawk.",female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('short gray hair'), explicitly suggesting the person's gender as female.",TRUE,FALSE,53,32,
harrypotter1,a large pink face,"He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.",male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a large pink face'), explicitly suggesting the person's gender as male.",TRUE,FALSE,11,10,
harrypotter1,wicked dark eyes,"There was a pop, and a little man with wicked, dark eyes and a wide mouth appeared, floating cross- legged in the air, clutching the walking sticks.",male,unknown,"The word 'man' indicates the gender, and 'wicked dark eyes' directly describes the man's physical feature.",FALSE,FALSE,48,29,
harrypotter1,sparkling blue eyes,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",male,male,"The attribute is described with the pronoun 'his', which directly refers to the person with 'sparkling blue eyes', indicating a male.",TRUE,FALSE,3,3,
hungergames1,an awkward face,"Which is pointless, of course.” In the light  from below, I can see his face now, the awkward way he  holds his bandaged hands.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('an awkward face'), explicitly suggesting the person's gender as male.",TRUE,TRUE,48,25,replaced
hungergames1,gray eyes,"Straight black hair, olive skin,  we even have the same gray eyes.",unknown,unknown,The description does not provide any gender indicators; the subject could be of any gender.,TRUE,TRUE,1,1,
hungergames1,a big build,"He’s a big, broad-shouldered man with burn scars  from years at the ovens.",male,male,The text uses the pronoun 'He' which indicates that the person described is male. The phrase 'broad-shouldered man' further confirms this.,TRUE,TRUE,12,8,replaced
hungergames1,a stocky build,"Medium height,  stocky build, ashy blond hair that falls in waves over  his forehead.",male,male,"The text uses the pronoun 'his' relative to the description, implying the person is male.",TRUE,TRUE,8,6,
hungergames1,a lush body,"With that flowing blonde hair, emerald green eyes, her  body tall and lush .",female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('lush body'), explicitly suggesting the person's gender as female.",TRUE,TRUE,42,23,replaced
hungergames1,paper-white hair,"The president, a small, thin man with paper-white hair,  gives the official welcome from a balcony above us.",male,unknown,"The description of 'paper-white hair' is tied to 'a small, thin man,' which identifies the person as male based on the presence of the word 'man' in the description.",FALSE,TRUE,25,16,
hungergames1,hazel eyes,"And there, the  ashen hair and hazel eyes of the boy from District 9 who  died as we struggled for the backpack!",male,unknown,"The text refers to 'the boy from District 9', indicating that these eyes belong to a male.",FALSE,TRUE,108,36,
hungergames1,ashy blond hair,"Medium height,  stocky build, ashy blond hair that falls in waves over  his forehead.",male,male,"The text uses the pronoun 'his' to refer to the individual with ashy blond hair, indicating the person is male.",TRUE,FALSE,8,6,replaced
hungergames1,dark red hair,"The dark red hair, the striking features, the  porcelain white skin.",unknown,unknown,"The text does not provide explicit gender indicators or pronouns, leaving the gender of the person associated with 'dark red hair' unknown.",TRUE,FALSE,30,17,
hungergames1,pink hair,And may the odds be ever in your favor!” Her pink hair  must be a wig because her curls have shifted slightly  off-center since her encounter with Haymitch.,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('pink hair'), explicitly suggesting the person's gender as female.",TRUE,TRUE,5,4,
hungergames1,a scary white grin,"Two of the three chairs fill with Madge’s father, Mayor  Undersee, who’s a tall, balding man, and Effie Trinket,  District 12’s escort, fresh from the Capitol with her scary  white grin, pinkish hair, and spring green suit.",unknown,female,"The attribute describes 'Effie Trinket' but does not provide explicit gender identification beyond the name, which is commonly associated with females.",FALSE,FALSE,4,3,
hungergames1,ashen hair,"And there, the  ashen hair and hazel eyes of the boy from District 9 who  died as we struggled for the backpack!",male,unknown,"The text refers to 'the boy from District 9', which explicitly suggests the person's gender as male.",FALSE,FALSE,108,36,
hungergames1,porcelain white skin,"The dark red hair, the striking features, the  porcelain white skin.",unknown,unknown,The absence of gender indicators in the text results in the gender of the person described by 'porcelain white skin' being unknown.,TRUE,FALSE,30,17,replaced
hungergames1,skinny arms,She’s wrapped  her skinny arms around me like a vice.,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('skinny arms'), explicitly suggesting the person's gender as female.",TRUE,FALSE,6,5,
hungergames1,loose strands of hair,His hand brushes  the loose strands of my hair off my forehead.,unknown,male,"The text describes 'loose strands of hair' without attributing a specific gender to the person, leaving it ambiguous.",FALSE,FALSE,85,29,
hungergames1,a medium height,"Medium height,  stocky build, ashy blond hair that falls in waves over  his forehead.",male,male,"The text uses the pronoun 'his' relative to 'hair that falls in waves over his forehead', suggesting the person is male.",TRUE,FALSE,8,6,
lordoftherings1,deep brows,"He then told them many remarkable stories, sometimes half as if speaking to himself, sometimes looking at them suddenly with a bright blue eye under his deep brows.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('deep brows'), explicitly suggesting the person's gender as male.",TRUE,TRUE,50,18,
lordoftherings1,a sharp nose,The flicker for a moment showed his sharp nose.,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a sharp nose'), explicitly suggesting the person's gender as male.",TRUE,TRUE,127,45,
lordoftherings1,pale-blue eyes,"Her long yellow hair rippled down her shoulders; her gown was green, green as young reeds, shot with silver like beads of dew; and her belt was of gold, shaped like a chain of flag-lilies set with the pale-blue eyes of forget-me-nots.",female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('pale-blue eyes'), explicitly suggesting the person's gender as female.",TRUE,TRUE,44,16,
lordoftherings1,a hungry face,"To his distress and amazement he found that he was no longer looking at Bilbo; a shadow seemed to have fallen between them, and through it he found himself eyeing a little wrinkled creature with a hungry face and bony groping hands.",unknown,male,The term 'creature' is gender-neutral and does not provide any clues about gender.,FALSE,TRUE,105,40,
lordoftherings1,skilful fingers,"Thus, the only craft little practised among them was shoe-making; but they had long and skilful fingers and could make many other useful and comely things.",unknown,unknown,"The text describes the fingers as 'skilful' similarly without any gender indication for the individuals, resulting in a classification of unknown.",TRUE,TRUE,2,0,
lordoftherings1,red cheeks,"_'A stout little fellow with red cheeks,'_ said Mr. Butterbur solemnly.",male,unknown,"The red cheeks are described in relation to 'a stout fellow,' implying that they are attributes of a male character.",FALSE,TRUE,73,26,
lordoftherings1,dark eyes,In his aged face under great snowy brows his dark eyes were set like coals that could leap suddenly into fire.,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('dark eyes'), explicitly suggesting the person's gender as male.",TRUE,TRUE,100,36,
lordoftherings1,a lean face,"asked Boromir, looking in wonder at the lean face of the Ranger and his weather-stained cloak.",unknown,male,"The text describes the face as 'lean' but does not provide any direct evidence of gender related to the person described as 'the Ranger', leaving the gender unknown.",FALSE,TRUE,106,41,
lordoftherings1,eyes like coals,"His broad flat face was swart, his eyes were like coals, and his tongue was red; he wielded a great spear.",male,male,The phrase 'his eyes' indicates the person described is male.,TRUE,FALSE,136,48,replaced
lordoftherings1,dark scornful eyes,"He had heavy black brows, and dark scornful eyes; his large mouth curled in a sneer.",male,male,"The text uses the pronoun 'he' to describe the person whose eyes are being depicted ('dark scornful eyes'), explicitly suggesting the person's gender as male.",TRUE,FALSE,78,28,
lordoftherings1,shining gold hair,"Glorfindel was tall and straight; his hair was of shining gold, his face fair and young and fearless and full of joy; his eyes were bright and keen, and his voice like music; on his brow sat wisdom, and in his hand was strength.",male,male,"The text uses the pronoun 'his' to refer to the person whose hair is described, clearly indicating the person's gender as male.",TRUE,FALSE,101,37,
lordoftherings1,a fair and young face,"Glorfindel was tall and straight; his hair was of shining gold, his face fair and young and fearless and full of joy; his eyes were bright and keen, and his voice like music; on his brow sat wisdom, and in his hand was strength.",male,male,"The text uses 'his' to describe Glorfindel's face, which indicates the person's gender as male.",TRUE,FALSE,101,37,
lordoftherings1,a big brown-skinned hand,It seemed to grow larger as it lay for a moment on his big brown-skinned hand.,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a big brown-skinned hand'), which explicitly suggests the person's gender as male.",TRUE,FALSE,52,19,
lordoftherings1,a bright blue eye,"He then told them many remarkable stories, sometimes half as if speaking to himself, sometimes looking at them suddenly with a bright blue eye under his deep brows.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a bright blue eye'), explicitly suggesting the person's gender as male.",TRUE,FALSE,50,18,
lordoftherings1,a round red face,Through the gate there now appeared a broad thick-set hobbit with a round red face.,unknown,unknown,"The description does not provide any indicators of gender, and 'hobbit' refers to a fictional race without a specified gender here.",TRUE,FALSE,33,14,
lordoftherings1,a pale stem face,"As Frodo drew near be threw back his hood, showing a shaggy head of dark hair necked with grey, and in a pale stem face a pair of keen grey eyes.",male,male,"The text describes 'Frodo,' indicating the person's gender as male.",TRUE,FALSE,68,22,
mazerunner,strong arms,"Thomas was just passing the Box when he was surprised to see someone enter the Glade from the  Maze, through the West Door, to his left—an Asian kid with strong arms and short black hair, who looked  a little older than Thomas.",unknown,male,"The text describes 'an Asian kid' with strong arms, but does not provide explicit gender indicators. 'Kid' can refer to any young person, thus the gender is unknown.",FALSE,TRUE,39,17,replaced
mazerunner,a ridiculous posture,"“On the count of three,” Jeff, the taller Med-jack, was saying, his tall frame looking ridiculous bent in  half, like a praying mantis.",male,male,"This posture is described in relation to 'his' tall frame, which also is ascribed to Jeff, a male character, thereby indicating male gender.",TRUE,TRUE,32,16,
mazerunner,gray hair,The other was short and actually had gray hair already conguering the  black on the sides of his head.,male,male,"The text uses the pronoun 'his' to refer to the person with 'gray hair', explicitly indicating a male gender.",TRUE,TRUE,30,14,
mazerunner,fury-filled eyes,"Shouldn't we do something?”    Newt turned on him, his face flushed red, his eyes flamed with fury.",male,male,"The text uses the name 'Newt' which is a common male name, hence suggesting the person's gender as male.",TRUE,TRUE,49,26,replaced
mazerunner,a heavy limp,"“The Grievers will kill you all—one  every night till it's over!”   Thomas watched, speechless, as Gally staggered to his feet and walked forward, dragging his right leg  with a heavy limp.",male,male,"The name 'Gally' is commonly associated with males, suggesting that the person described (with the heavy limp) is male.",TRUE,TRUE,84,36,replaced
mazerunner,tight grin,"Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with  humor.",unknown,male,"The text provides no clear gender indicators; it describes the physical attribute of 'mouth' as having a 'tight grin', but does not specify the gender of the person.",FALSE,TRUE,31,15,
mazerunner,black hair,"He fell to his knees, only to be jerked back to his feet by the Keeper in front, a thick guy with black hair  and asnarl on his face.",male,male,"The attribute 'black hair' is associated with 'a thick guy' from the previous phrase, which is clearly identified as male.",TRUE,TRUE,45,22,
mazerunner,blond hair,"A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.",unknown,male,"The description does not contain gender-specific information, making it impossible to determine the gender from this attribute alone.",FALSE,TRUE,2,0,replaced
mazerunner,a huge gash on the forehead,"It was Alby, flat on his back, a huge gash on his forehead.",unknown,male,"The attribute describes a physical injury rather than a characteristic feature of the person, and while the name 'Alby' is typically male, there is no explicit description suggesting a gender attribution through physical traits.",FALSE,FALSE,88,38,
mazerunner,a snarl on a face,"He fell to his knees, only to be jerked back to his feet by the Keeper in front, a thick guy with black hair  and asnarl on his face.",male,male,"The attribute is linked to 'his' face, which again identifies the person as male based on the pronoun used.",TRUE,FALSE,45,22,
mazerunner,droopy eyes,The kid had droopy eyes and a long face—for  some reason he looked as bored as humanly possible.,unknown,male,"The term 'kid' does not provide clear evidence of gender; thus, the gender inferred for the described attribute is 'unknown.'",FALSE,FALSE,47,24,
mazerunner,burning blue eyes,Burning blue eyes darted back and forth as she took deep breaths.,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('burning blue eyes'), explicitly suggesting the person's gender as female.",TRUE,FALSE,28,13,
mazerunner,black hair on the sides,The other was short and actually had gray hair already conguering the  black on the sides of his head.,male,male,"The text uses the pronoun 'his' to refer to the person with 'black hair on the sides', explicitly indicating a male gender.",TRUE,FALSE,30,14,
mazerunner,narrowed eyes,"Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with  humor.",unknown,male,"The text provides no clear gender indicators; it only describes the physical attribute of 'eyes' as 'narrowed'. It refers to 'Alby', which could be a name associated with any gender.",FALSE,FALSE,31,15,
mazerunner,a skin covered in sweat,"He looked like he'd just run twenty miles, face red, skin covered in sweat,  clothes soaked.",male,male,"The text uses the pronoun 'He', referring to a male, and the attribute describes the skin of the person.",TRUE,FALSE,40,18,
mazerunner,glowing eyes,He stared into those glowing eyes.,unknown,male,The text describes 'glowing eyes' but does not provide any gender-specific clues or context related to the owner of the eyes.,FALSE,FALSE,82,34,
twilight1,red hair,"Instead,  I  was  ivory-skinned,  without  even  the  excuse  of  blue  eyes  or  red  hair,  despite  the  constant  sunshine.",unknown,unknown,The attribute 'red hair' does not provide any clues about the person's gender.,TRUE,TRUE,3,3,
twilight1,a hard forearm,"He  had  the  long  sleeves  of  his  white  shirt  pushed  up  to  his  elbows,    and  his  forearm  was  surprisingly  hard  and  muscular  beneath  his  light  skin.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a hard forearm'), explicitly suggesting the person's gender as male.",TRUE,TRUE,11,9,
twilight1,clean hair,"While  I  waited  for  the  drugs  to  kick  in,  I  dried  my  clean  hair  till  it  was  impeccably    straight,  and  fussed  over  what  I  would  wear  tomorrow.","unknown},{",unknown,"The text does not provide any clear pronouns or indicators of the person's gender, making it impossible to infer gender from the description of 'clean hair'. The term 'my' refers to the speaker without any gender indication.",FALSE,TRUE,78,44,
twilight1,beautiful skin,"His  skin  was  beautiful,  silky  and  russet-colored;  his  eyes  were  dark,  set  deep  above  the  high  planes  of  his  cheekbones.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('beautiful skin'), explicitly suggesting the person's gender as male.",TRUE,TRUE,33,20,
twilight1,perfect musculature,"His  white  shirt  was  sleeveless,  and  he  wore  it  unbuttoned,  so  that  the  smooth  white  skin  of  his  throat  flowed  uninterrupted  over  the  marble  contours  of  his  chest,  his  perfect  musculature  no  longer  merely  hinted  at  behind  concealing  clothes.",male,male,"The text uses the pronoun 'his' to refer to the person with this attribute, explicitly suggesting the person's gender as male.",TRUE,TRUE,81,45,replaced
twilight1,a blue hand,"I  traced  a  blue  hand,  a  woman  combing  her  hair,  a  cat  stretching.",unknown,female,The hand is described as 'blue' but there is no gendered reference. The owner of the hand is not explicitly mentioned in relation to this attribute.,FALSE,TRUE,126,70,
twilight1,serious eyes,His  eyes  were  wide  and  serious.,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('serious eyes'), explicitly suggesting the person's gender as male.",TRUE,TRUE,152,78,
twilight1,crinkling eyes,"He  smiled  back,  his  brown  eyes  crinkling  around  the  edges.",male,male,"The description of the 'brown eyes' crinkling is related to the same subject referenced by 'his', which indicates that the person's gender is male.",TRUE,FALSE,41,23,
twilight1,a willowy frame,"Her  slight  frame  was  willowy,  graceful  even  in  absolute  stillness.",female,female,"The text uses the pronoun 'her' to refer to the person whose frame is described as 'willowy', explicitly suggesting the person's gender as female.",TRUE,FALSE,76,43,
twilight1,hair worn straight down a back,"Through  the  glass  I  could  see  a  fifty-year-old  woman  with  long,  gray  hair  worn  straight  down  her  back,  clad  in  a  dress  right  out  of  the  sixties,  smiling  welcomingly  from  behind  the  counter.",female,female,"The text states 'a fifty-year-old woman', which identifies the gender of the person described.",TRUE,FALSE,45,26,
twilight1,nearly dry hair,He  laughed  and  lightly  rumpled  my  nearly  dry  hair.,unknown,male,"The text describes the hair as 'nearly dry' without any specific gender markers relating to the individual possessing the hair, so the gender remains unknown.",FALSE,FALSE,89,49,
twilight1,too bright eyes,"The  face  in  the  mirror  was  practically  a  stranger  —  eyes  too  bright,  hectic  spots  of  red  across  my  cheekbones.",unknown,unknown,"The description of 'too bright eyes' does not provide any specific clues about the person's gender, making it undetermined.",TRUE,FALSE,91,50,
twilight1,long glossy black hair,"He  looked  fourteen,  maybe  fifteen,  and  had  long,  glossy  black  hair  pulled  back  with  a  rubber  band  at  the  nape  of  his  neck.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('long glossy black hair'), explicitly suggesting the person's gender as male.",TRUE,FALSE,32,19,
twilight1,a copper skin,"As  we  got  closer  we  could  see  the  shining,  straight  black  hair  and  copper  skin  of  the  newcomers,  teenagers  from  the  reservation  come  to  socialize.",unknown,unknown,"The text does not provide any explicit indication of gender for the teenagers described, making it impossible to assign a definitive gender to this attribute.",TRUE,TRUE,31,18,
twilight1,a bright red face,His  face  was  bright  red  as  he  looked  down  again.,male,male,"The text uses the pronoun 'his' to refer to the person's face, explicitly suggesting the person's gender as male.",TRUE,FALSE,22,14,
twilight1,pointed teeth,"He  smiled  then,  and  his  teeth  were  sharp,  pointed.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('pointed teeth'), explicitly suggesting the person's gender as male.",TRUE,FALSE,39,22,
