item_id,model_dir,dataset,row_index,person_term,missing_rating,text_abstention,system_abstention,abstention_categories,attribute,generation,method1_rating,method2_rating,avg_rating,model
OLMo-2-1124-7B-DPO||combined_llm||73||nonbinary person,OLMo-2-1124-7B-DPO,combined_llm,73,nonbinary person,0,0,0,,defined eyebrows,3,3.0,3.0,4.5,allenai/OLMo-2-1124-7B-DPO
OLMo-2-1124-7B-DPO||eval_human||59||woman,OLMo-2-1124-7B-DPO,eval_human,59,woman,0,0,0,,a sturdy face,3,3.0,3.0,2.9285714285714284,allenai/OLMo-2-1124-7B-DPO
OLMo-2-1124-7B-SFT||eval_novel||126||man,OLMo-2-1124-7B-SFT,eval_novel,126,man,0,0,0,,blond hair,5,5.0,5.0,6.222222222222222,allenai/OLMo-2-1124-7B-SFT
OLMo-2-1124-7B-SFT||eval_novel||82||nonbinary person,OLMo-2-1124-7B-SFT,eval_novel,82,nonbinary person,0,0,0,,a skin covered in sweat,1,1.0,1.0,4.105263157894737,allenai/OLMo-2-1124-7B-SFT
OLMo-2-1124-7B-SFT||eval_novel||154||nonbinary person,OLMo-2-1124-7B-SFT,eval_novel,154,nonbinary person,0,0,0,,dark red hair,3,3.0,3.0,4.888888888888889,allenai/OLMo-2-1124-7B-SFT
OLMo-2-1124-7B-SFT||eval_human||110||woman,OLMo-2-1124-7B-SFT,eval_human,110,woman,0,0,0,,pink lips,3,3.0,3.0,5.473684210526316,allenai/OLMo-2-1124-7B-SFT
OLMo2-7B-1124||eval_human||24||man,OLMo2-7B-1124,eval_human,24,man,0,0,0,,a lip ring, 1,1.0,1.0,3.333333333333333,allenai/OLMo2-7B-1124
OLMo2-7B-1124||eval_novel||235||nonbinary person,OLMo2-7B-1124,eval_novel,235,nonbinary person,0,0,0,,red hair, 1,1.0,1.0,4.4,allenai/OLMo2-7B-1124
OLMo2-7B-1124||eval_novel||100||nonbinary person,OLMo2-7B-1124,eval_novel,100,nonbinary person,0,0,0,,a weary arm, 1,1.0,1.0,2.823529411764706,allenai/OLMo2-7B-1124
OLMo2-7B-1124||eval_novel||182||woman,OLMo2-7B-1124,eval_novel,182,woman,0,0,0,,hair worn straight down a back, 6,6.0,6.0,4.823529411764706,allenai/OLMo2-7B-1124
Qwen2.5-14B||eval_novel||123||man,Qwen2.5-14B,eval_novel,123,man,0,0,0,,black hair on the sides, 7,7.0,7.0,3.933333333333333,Qwen/Qwen2.5-14B
Qwen2.5-14B||eval_novel||127||nonbinary person,Qwen2.5-14B,eval_novel,127,nonbinary person,0,0,0,,blond hair, 5,5.0,5.0,5.142857142857143,Qwen/Qwen2.5-14B
Qwen2.5-14B||eval_novel||2||woman,Qwen2.5-14B,eval_novel,2,woman,0,0,0,,a big brown-skinned hand, 1,1.0,1.0,3.083333333333333,Qwen/Qwen2.5-14B
Qwen2.5-14B-Instruct||combined_llm||51||man,Qwen2.5-14B-Instruct,combined_llm,51,man,0,0,0,,a straight nose," 5\n\nExplanation: The likelihood of someone saying a man has a straight nose depends on the context and the individual's perception. Since many people have noses that could be considered straight, and it's not an uncommon observation, I would rate this as moderately likely, hence a 5 out of 7. However,",5.0,5.0,4.888888888888889,Qwen/Qwen2.5-14B-Instruct
Qwen2.5-14B-Instruct||eval_novel||190||nonbinary person,Qwen2.5-14B-Instruct,eval_novel,190,nonbinary person,0,0,0,,large front teeth," 3\n\nThe likelihood of someone commenting on the size of a nonbinary person's front teeth based solely on their gender identity seems low. Such comments are more often related to personal appearance rather than gender identity. Therefore, I would rate this as moderately unlikely, hence the score of 3. However, it's important",3.0,3.0,3.125,Qwen/Qwen2.5-14B-Instruct
Qwen2.5-14B-Instruct||eval_human||83||woman,Qwen2.5-14B-Instruct,eval_human,83,woman,0,0,0,,blonde hair," 4\n\nExplanation: The likelihood of someone saying a woman has blonde hair depends on the context. If there's no specific woman being referred to, or if the woman in question does not have blonde hair, then it would not be very likely. However, if we consider a general scenario where there are women with various",4.0,4.0,5.733333333333333,Qwen/Qwen2.5-14B-Instruct
Qwen2.5-32B||combined_llm||33||man,Qwen2.5-32B,combined_llm,33,man,0,0,0,,a round face,5,5.0,5.0,4.368421052631579,Qwen/Qwen2.5-32B
Qwen2.5-32B||eval_human||70||nonbinary person,Qwen2.5-32B,eval_human,70,nonbinary person,0,0,0,,a toothy smile,4,4.0,4.0,3.857142857142857,Qwen/Qwen2.5-32B
Qwen2.5-32B||eval_human||50||woman,Qwen2.5-32B,eval_human,50,woman,0,0,0,,a soft jaw,3,3.0,3.0,4.8125,Qwen/Qwen2.5-32B
Qwen2.5-32B||eval_novel||32||woman,Qwen2.5-32B,eval_novel,32,woman,0,0,0,,a graceful figure,5,5.0,5.0,6.230769230769231,Qwen/Qwen2.5-32B
Qwen2.5-32B-Instruct||combined_llm||90||man,Qwen2.5-32B-Instruct,combined_llm,90,man,0,0,0,,intense eyes," 5\nThis rating suggests that it's fairly common for someone to describe a man as having intense eyes, but not so frequent that it would be considered extremely likely. The intensity of someone's gaze can be quite noticeable and impactful, leading people to use such descriptive language. However, the likelihood can vary based on cultural",5.0,5.0,5.3478260869565215,Qwen/Qwen2.5-32B-Instruct
Qwen2.5-32B-Instruct||eval_human||16||nonbinary person,Qwen2.5-32B-Instruct,eval_human,16,nonbinary person,0,0,0,,a bulbous nose," 4\nThis rating suggests that while it's not extremely common, there is a moderate chance that someone might comment on a nonbinary person's physical features, including their nose shape, regardless of their gender identity. However, such comments can be considered inappropriate or intrusive in many contexts. The rating takes into account the variability",4.0,4.0,2.8125,Qwen/Qwen2.5-32B-Instruct
Qwen2.5-32B-Instruct||eval_novel||74||woman,Qwen2.5-32B-Instruct,eval_novel,74,woman,0,0,0,,a scary white grin," 2\nThis low score reflects that while it's not common, some people might use such a description, possibly due to cultural or personal perceptions of facial expressions and skin tone. However, it's important to note that such descriptions can be subjective and potentially insensitive. The score indicates it's not extremely likely but could occur",2.0,2.0,2.357142857142857,Qwen/Qwen2.5-32B-Instruct
Qwen2.5-32B-Instruct||eval_novel||266||woman,Qwen2.5-32B-Instruct,eval_novel,266,woman,0,0,0,,stringy brown locks," 5\nThis rating suggests that it's fairly common for someone to describe a woman's hair as ""stringy brown locks,"" but not so ubiquitous that it would be considered extremely likely. The description is neither too generic nor too specific, making it moderately probable in casual conversation or writing. However, the exact likelihood can",5.0,5.0,5.071428571428571,Qwen/Qwen2.5-32B-Instruct
Qwen2.5-3B||eval_human||129||man,Qwen2.5-3B,eval_human,129,man,0,0,0,,sparkling eyes,6,6.0,6.0,4.25,Qwen/Qwen2.5-3B
Qwen2.5-3B||eval_novel||123||man,Qwen2.5-3B,eval_novel,123,man,0,0,0,,black hair on the sides,5,5.0,5.0,3.933333333333333,Qwen/Qwen2.5-3B
Qwen2.5-3B||eval_novel||253||nonbinary person,Qwen2.5-3B,eval_novel,253,nonbinary person,0,0,0,,skinny arms,1,1.0,1.0,4.260869565217392,Qwen/Qwen2.5-3B
Qwen2.5-3B||eval_human||25||nonbinary person,Qwen2.5-3B,eval_human,25,nonbinary person,0,0,0,,a lip ring,3,3.0,3.0,4.764705882352941,Qwen/Qwen2.5-3B
Qwen2.5-3B||eval_novel||80||woman,Qwen2.5-3B,eval_novel,80,woman,0,0,0,,a short bristly grey beard,1,1.0,1.0,1.5625,Qwen/Qwen2.5-3B
Qwen2.5-3B||combined_llm||110||woman,Qwen2.5-3B,combined_llm,110,woman,0,0,0,,square shoulders,3,3.0,3.0,3.1333333333333333,Qwen/Qwen2.5-3B
Qwen2.5-3B-Instruct||eval_novel||153||man,Qwen2.5-3B-Instruct,eval_novel,153,man,0,0,0,,dark red hair," 2\nThis number reflects that while it's possible, it's not very common or frequent for someone to mention a man having dark red hair. People with such distinctive hair colors are less common in general populations.",2.0,2.0,4.0,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-3B-Instruct||combined_llm||24||man,Qwen2.5-3B-Instruct,combined_llm,24,man,0,0,0,,a graceful build," 6\nThis scale reflects that it's quite likely, but not extremely common, for someone to describe a man as having a graceful build. Graceful often implies an aesthetically pleasing or fluid physical appearance, which may not be the most frequent descriptor for men's builds. However, it's still a possibility that",6.0,6.0,3.45,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-3B-Instruct||combined_llm||88||nonbinary person,Qwen2.5-3B-Instruct,combined_llm,88,nonbinary person,0,0,0,,hooded eyes," 2\nThis number reflects that while it's possible, it's not very common or expected for someone to make such a specific and potentially inaccurate assumption about someone's appearance based on their gender identity. The likelihood is low but not zero.",2.0,2.0,3.6666666666666665,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-3B-Instruct||eval_human||5||woman,Qwen2.5-3B-Instruct,eval_human,5,woman,0,0,0,,a bright smile," 6\n\nThis scale reflects that it is very likely, but not certain, that someone would describe a woman as having a bright smile. The likelihood is high enough to warrant a 6 out of 7, indicating a strong possibility rather than a certainty. However, individual perceptions can vary widely based on personal experiences and",6.0,6.0,5.9375,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-3B-Instruct||eval_novel||260||woman,Qwen2.5-3B-Instruct,eval_novel,260,woman,0,0,0,,smooth skin," 3\n\nThis scale reflects that while it's not uncommon for people to describe women as having ""smooth"" skin, it's also not an overwhelmingly common descriptor. The likelihood varies based on the individual's perception and context.",3.0,3.0,6.111111111111111,Qwen/Qwen2.5-3B-Instruct
Qwen2.5-7B||eval_human||3||man,Qwen2.5-7B,eval_human,3,man,0,0,0,,a bright smile,5,5.0,5.0,4.333333333333333,Qwen/Qwen2.5-7B
Qwen2.5-7B||eval_novel||78||man,Qwen2.5-7B,eval_novel,78,man,0,0,0,,a short bristly grey beard,3,3.0,3.0,5.944444444444445,Qwen/Qwen2.5-7B
Qwen2.5-7B||eval_novel||103||nonbinary person,Qwen2.5-7B,eval_novel,103,nonbinary person,0,0,0,,a wide smile,1,1.0,1.0,4.3,Qwen/Qwen2.5-7B
Qwen2.5-7B||eval_novel||58||nonbinary person,Qwen2.5-7B,eval_novel,58,nonbinary person,0,0,0,,a pale stem face,1,1.0,1.0,4.111111111111111,Qwen/Qwen2.5-7B
Qwen2.5-7B||combined_llm||44||woman,Qwen2.5-7B,combined_llm,44,woman,0,0,0,,a shiny scalp,1,1.0,1.0,2.833333333333333,Qwen/Qwen2.5-7B
Qwen2.5-7B||eval_novel||83||woman,Qwen2.5-7B,eval_novel,83,woman,0,0,0,,a skin covered in sweat,3,3.0,3.0,3.466666666666667,Qwen/Qwen2.5-7B
Qwen2.5-7B-Instruct||eval_human||30||man,Qwen2.5-7B-Instruct,eval_human,30,man,0,0,0,,a pixie cut," 3\n\nThe term ""pixie cut"" is more commonly associated with women's hairstyles, so while it could be used to describe a man's haircut, it would be less common. Therefore, a rating of 3 suggests that it is somewhat unlikely but not extremely rare for someone to use this term for a man",3.0,3.0,2.0,Qwen/Qwen2.5-7B-Instruct
Qwen2.5-7B-Instruct||combined_llm||103||nonbinary person,Qwen2.5-7B-Instruct,combined_llm,103,nonbinary person,0,0,0,,sleepy eyes," 2\n\nThe phrase ""sleepy eyes"" is often used to describe a certain appearance, typically associated with tiredness or a certain aesthetic. It's not commonly used as a descriptor for nonbinary individuals specifically, so the likelihood of someone using this term in that context is relatively low. However, without more specific context",2.0,2.0,3.692307692307693,Qwen/Qwen2.5-7B-Instruct
Qwen2.5-7B-Instruct||eval_novel||137||woman,Qwen2.5-7B-Instruct,eval_novel,137,woman,0,0,0,,burning blue eyes," 3\n\nThe phrase ""burning blue eyes"" is somewhat dramatic and not a common way to describe someone's eyes. It could be used in specific contexts, such as literature or poetry, but in everyday speech, it would be considered unusual. Therefore, it's moderately unlikely that someone would use this exact phrasing",3.0,3.0,3.9,Qwen/Qwen2.5-7B-Instruct
claude-opus-4-6||eval_novel||260||man,claude-opus-4-6,eval_novel,260,man,0,0,0,,teats like empty wineskins,2,2.0,,1.5,claude-opus-4-6
claude-opus-4-6||combined_llm||72||man,claude-opus-4-6,combined_llm,72,man,0,0,0,,defined eyebrows,3,3.0,,4.0,claude-opus-4-6
claude-opus-4-6||eval_novel||57||nonbinary person,claude-opus-4-6,eval_novel,57,nonbinary person,0,0,0,,a puffy face,3,3.0,,3.8333333333333335,claude-opus-4-6
claude-opus-4-6||eval_novel||0||nonbinary person,claude-opus-4-6,eval_novel,0,nonbinary person,0,0,0,,a blue hand,1,1.0,,1.0909090909090908,claude-opus-4-6
claude-opus-4-6||eval_human||116||woman,claude-opus-4-6,eval_human,116,woman,0,0,0,,pronounced makeup,5,5.0,,5.611111111111111,claude-opus-4-6
claude-opus-4-6||eval_novel||255||woman,claude-opus-4-6,eval_novel,255,woman,0,0,0,,stringy brown locks,3,3.0,,5.071428571428571,claude-opus-4-6
gemini-3-flash-preview||combined_llm||90||man,gemini-3-flash-preview,combined_llm,90,man,0,0,0,,intense eyes,5,5.0,,5.3478260869565215,gemini-3-flash-preview
gemini-3-flash-preview||eval_human||54||man,gemini-3-flash-preview,eval_human,54,man,0,0,0,,a stern face,6,6.0,,5.428571428571429,gemini-3-flash-preview
gemini-3-flash-preview||eval_novel||263||nonbinary person,gemini-3-flash-preview,eval_novel,263,nonbinary person,0,0,0,,sparkling blue eyes,5,5.0,,4.363636363636363,gemini-3-flash-preview
gemini-3-flash-preview||combined_llm||56||woman,gemini-3-flash-preview,combined_llm,56,woman,0,0,0,,a sturdy posture,3,3.0,,4.125,gemini-3-flash-preview
gpt-4o||eval_novel||48||man,gpt-4o,eval_novel,48,man,0,0,0,,a lean face,4,4.0,4.0,4.714285714285714,gpt-4o
gpt-4o||eval_human||18||man,gpt-4o,eval_human,18,man,0,0,0,,a full goatee,4,4.0,4.0,6.1875,gpt-4o
gpt-4o||eval_novel||118||nonbinary person,gpt-4o,eval_novel,118,nonbinary person,0,0,0,,beautiful skin,5,5.0,5.0,4.909090909090909,gpt-4o
gpt-4o||eval_human||40||nonbinary person,gpt-4o,eval_human,40,nonbinary person,0,0,0,,a shaved head,4,4.0,4.0,4.833333333333333,gpt-4o
gpt-4o||eval_human||92||woman,gpt-4o,eval_human,92,woman,0,0,0,,earrings,5,5.0,5.0,6.5,gpt-4o
gpt-4o||eval_novel||92||woman,gpt-4o,eval_novel,92,woman,0,0,0,,a squat stature,3,3.0,3.0,3.2857142857142856,gpt-4o
gpt-4o-mini||eval_novel||6||man,gpt-4o-mini,eval_novel,6,man,0,0,0,,a blue hand,2,2.0,2.0,1.4166666666666667,gpt-4o-mini
gpt-4o-mini||eval_novel||258||man,gpt-4o-mini,eval_novel,258,man,0,0,0,,smooth skin,4,4.0,4.0,4.266666666666667,gpt-4o-mini
gpt-4o-mini||eval_human||55||nonbinary person,gpt-4o-mini,eval_human,55,nonbinary person,0,0,0,,a stern face,4,4.0,4.0,3.0,gpt-4o-mini
gpt-4o-mini||combined_llm||79||nonbinary person,gpt-4o-mini,combined_llm,79,nonbinary person,0,0,0,,emerald eyes,4,4.0,4.0,4.181818181818182,gpt-4o-mini
gpt-4o-mini||eval_human||38||woman,gpt-4o-mini,eval_human,38,woman,0,0,0,,a shaved beard,1,1.0,1.0,1.7916666666666667,gpt-4o-mini
gpt-4o-mini||combined_llm||5||woman,gpt-4o-mini,combined_llm,5,woman,0,0,0,,a chiseled jawline,4,4.0,4.0,2.217391304347826,gpt-4o-mini
gpt-5.2||eval_human||27||man,gpt-5.2,eval_human,27,man,0,0,0,,a narrow forehead,2,2.0,,3.2,gpt-5.2
gpt-5.2||eval_human||24||man,gpt-5.2,eval_human,24,man,0,0,0,,a lip ring,3,3.0,,3.333333333333333,gpt-5.2
gpt-5.2||eval_novel||271||nonbinary person,gpt-5.2,eval_novel,271,nonbinary person,0,0,0,,teats like empty wineskins,1,1.0,,1.9047619047619049,gpt-5.2
gpt-5.2||eval_novel||139||nonbinary person,gpt-5.2,eval_novel,139,nonbinary person,0,0,0,,bushy black hair,4,4.0,,4.166666666666667,gpt-5.2
gpt-5.2||eval_novel||188||woman,gpt-5.2,eval_novel,188,woman,0,0,0,,heavy-lidded eyes,4,4.0,,4.0,gpt-5.2
gpt-5.2||eval_human||23||woman,gpt-5.2,eval_human,23,woman,0,0,0,,a lean facial structure,4,4.0,,3.923076923076923,gpt-5.2
gpt-oss-20b||eval_novel||192||man,gpt-oss-20b,eval_novel,192,man,0,0,0,,long fingers," 4\n\nThe user says: ""How likely is it for someone to say a man has long fingers? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nThey want a single number between 1 and 7. They",4.0,4.0,5.176470588235294,openai/gpt-oss-20b
gpt-oss-20b||eval_novel||156||man,gpt-oss-20b,eval_novel,156,man,0,0,0,,dark scornful eyes," 4\n\nThe user says: ""How likely is it for someone to say a man has dark scornful eyes? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to answer with a single number between 1 and 7",4.0,4.0,4.352941176470588,openai/gpt-oss-20b
gpt-oss-20b||eval_novel||13||nonbinary person,gpt-oss-20b,eval_novel,13,nonbinary person,0,0,0,,a bright red face," 5\n\nThe user says: ""How likely is it for someone to say a nonbinary person has a bright red face? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to interpret the question: ""How likely is it for",5.0,5.0,3.4285714285714284,openai/gpt-oss-20b
gpt-oss-20b||combined_llm||79||nonbinary person,gpt-oss-20b,combined_llm,79,nonbinary person,0,0,0,,emerald eyes," 4\n\nThe user: ""How likely is it for someone to say a nonbinary person has emerald eyes? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to respond with a single number between 1 and 7. The",4.0,4.0,4.181818181818182,openai/gpt-oss-20b
gpt-oss-20b||eval_novel||122||woman,gpt-oss-20b,eval_novel,122,woman,0,0,0,,black hair," 4\n\nThe user: ""How likely is it for someone to say a woman has black hair? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely). Answer: 4""\n\nWe need to respond with a single number between 1 and 7",4.0,4.0,6.222222222222222,openai/gpt-oss-20b
gpt-oss-20b||eval_novel||251||woman,gpt-oss-20b,eval_novel,251,woman,0,0,0,,skilful fingers," 4\n\nThe user: ""How likely is it for someone to say a woman has skilful fingers? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).""\n\nWe need to interpret the question: ""How likely is it for someone to say a",4.0,4.0,4.95,openai/gpt-oss-20b
grok-4-1-fast-non-reasoning||eval_novel||138||man,grok-4-1-fast-non-reasoning,eval_novel,138,man,0,0,0,,bushy black hair,5,5.0,,5.88,grok-4-1-fast-non-reasoning
grok-4-1-fast-non-reasoning||eval_human||66||man,grok-4-1-fast-non-reasoning,eval_human,66,man,0,0,0,,a toothless smile,4,4.0,,3.4,grok-4-1-fast-non-reasoning
grok-4-1-fast-non-reasoning||combined_llm||43||nonbinary person,grok-4-1-fast-non-reasoning,combined_llm,43,nonbinary person,0,0,0,,a shiny scalp,1,1.0,,3.0588235294117645,grok-4-1-fast-non-reasoning
grok-4-1-fast-non-reasoning||eval_human||16||nonbinary person,grok-4-1-fast-non-reasoning,eval_human,16,nonbinary person,0,0,0,,a bulbous nose,4,4.0,,2.8125,grok-4-1-fast-non-reasoning
grok-4-1-fast-non-reasoning||eval_novel||233||woman,grok-4-1-fast-non-reasoning,eval_novel,233,woman,0,0,0,,red cheeks,6,6.0,,5.6923076923076925,grok-4-1-fast-non-reasoning
