attribute,person_term,predicted_rating,source,author_gender,llm_gender,text_id,attribute_text_id,text,llm_reasoning,gender_match,indomain_strct
cracked skin,man,4.28125,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.",True,False
cracked skin,woman,4.3046875,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.",True,False
cracked skin,nonbinary person,3.53125,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('cracked skin'), explicitly suggesting the person's gender as female.",True,False
flaking skin,man,4.140625,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.",True,False
flaking skin,woman,4.46875,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.",True,False
flaking skin,nonbinary person,3.30859375,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('flaking skin'), explicitly suggesting the person's gender as female.",True,False
mottled black skin,man,2.5,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.",True,False
mottled black skin,woman,2.453125,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.",True,False
mottled black skin,nonbinary person,2.8046875,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.",True,False
mottled grey skin,man,2.65234375,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.",True,False
mottled grey skin,woman,2.453125,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.",True,False
mottled grey skin,nonbinary person,2.8046875,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled grey skin'), explicitly suggesting the person's gender as female.",True,False
stony skin,man,3.26171875,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female.",True,False
stony skin,woman,2.74609375,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female.",True,False
stony skin,nonbinary person,3.0625,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stony skin'), explicitly suggesting the person's gender as female.",True,False
a small pink hand,man,2.5234375,game of thrones,male,female,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'her' to refer to the person with the current attribute ('a small pink hand'), explicitly suggesting the person's gender as female.",False,False
a small pink hand,woman,3.859375,game of thrones,male,female,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'her' to refer to the person with the current attribute ('a small pink hand'), explicitly suggesting the person's gender as female.",False,False
a small pink hand,nonbinary person,3.1328125,game of thrones,male,female,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'her' to refer to the person with the current attribute ('a small pink hand'), explicitly suggesting the person's gender as female.",False,False
a frail spotted hand,man,2.8984375,game of thrones,male,male,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a frail spotted hand'), explicitly suggesting the person's gender as male.",False,False
a frail spotted hand,woman,3.09765625,game of thrones,male,male,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a frail spotted hand'), explicitly suggesting the person's gender as male.",False,False
a frail spotted hand,nonbinary person,2.72265625,game of thrones,male,male,5,4.0,"The Valyrians fashioned these towers in the shape of dragons to make their fortress seem more fearsome, just as they crowned their walls with a thousand gargoyles instead of simple crenellations.” He took her small pink hand in his own frail spotted one and gave it a gentle squeeze.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a frail spotted hand'), explicitly suggesting the person's gender as male.",False,False
thin shoulders,man,4.84375,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin shoulders'), explicitly suggesting the person's gender as male.",True,True
thin shoulders,woman,4.84375,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin shoulders'), explicitly suggesting the person's gender as male.",True,True
thin shoulders,nonbinary person,4.5625,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin shoulders'), explicitly suggesting the person's gender as male.",True,True
brown eyes,man,5.6875,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown eyes'), explicitly suggesting the person's gender as male.",True,True
brown eyes,woman,5.828125,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown eyes'), explicitly suggesting the person's gender as male.",True,True
brown eyes,nonbinary person,4.8203125,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown eyes'), explicitly suggesting the person's gender as male.",True,True
brown hair,man,5.9921875,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown hair'), explicitly suggesting the person's gender as male.",True,True
brown hair,woman,6.203125,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown hair'), explicitly suggesting the person's gender as male.",True,True
brown hair,nonbinary person,5.125,game of thrones,male,male,8,5.0,"A well-worn green cloak, stained by salt and spray and faded from the sun, draped his thin shoulders, over brown doublet and breeches that matched brown eyes and hair.","The text uses the pronoun 'his' to refer to the person with the current attribute ('brown hair'), explicitly suggesting the person's gender as male.",True,True
a small beard,man,5.6875,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a small beard'), explicitly suggesting the person's gender as male.",True,True
a small beard,woman,2.353515625,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a small beard'), explicitly suggesting the person's gender as male.",True,True
a small beard,nonbinary person,3.859375,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a small beard'), explicitly suggesting the person's gender as male.",True,True
a maimed left hand,man,3.015625,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a maimed left hand'), explicitly suggesting the person's gender as male.",True,False
a maimed left hand,woman,2.60546875,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a maimed left hand'), explicitly suggesting the person's gender as male.",True,False
a maimed left hand,nonbinary person,2.72265625,game of thrones,male,male,9,6.0,"His small beard was well peppered with grey, and he wore a leather glove on his maimed left hand.","The text uses the pronoun 'his' to refer to the person with the current attribute ('a maimed left hand'), explicitly suggesting the person's gender as male.",True,False
broad shoulders,man,5.9921875,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The text refers to 'Stannis Baratheon', explicitly stating a male name and title. The physical descriptions correlate with traditional male characteristics.",True,True
broad shoulders,woman,3.21484375,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The text refers to 'Stannis Baratheon', explicitly stating a male name and title. The physical descriptions correlate with traditional male characteristics.",True,True
broad shoulders,nonbinary person,4.09375,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The text refers to 'Stannis Baratheon', explicitly stating a male name and title. The physical descriptions correlate with traditional male characteristics.",True,True
sinewy limbs,man,4.140625,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The physical attribute 'sinewy limbs' is presented in conjunction with Stannis Baratheon, a male character.",True,False
sinewy limbs,woman,2.59375,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The physical attribute 'sinewy limbs' is presented in conjunction with Stannis Baratheon, a male character.",True,False
sinewy limbs,nonbinary person,3.58984375,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The physical attribute 'sinewy limbs' is presented in conjunction with Stannis Baratheon, a male character.",True,False
tightness to a face,man,3.765625,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","Again, this attribute is tied to 'his face,' which refers back to Stannis Baratheon, supporting the inference that the person is male.",True,False
tightness to a face,woman,4.0234375,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","Again, this attribute is tied to 'his face,' which refers back to Stannis Baratheon, supporting the inference that the person is male.",True,False
tightness to a face,nonbinary person,3.70703125,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","Again, this attribute is tied to 'his face,' which refers back to Stannis Baratheon, supporting the inference that the person is male.",True,False
tough flesh,man,3.90625,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The description 'flesh that spoke of leather' is linked to Stannis Baratheon, further indicating the subject's gender as male.",True,True
tough flesh,woman,3.16796875,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The description 'flesh that spoke of leather' is linked to Stannis Baratheon, further indicating the subject's gender as male.",True,True
tough flesh,nonbinary person,3.14453125,game of thrones,male,male,11,7.0,"Stannis Baratheon, Lord of Dragonstone and by the grace of the gods rightful heir to the Iron Throne of the Seven Kingdoms of Westeros, was broad of shoulder and sinewy of limb, with a tightness to his face and flesh that spoke of leather cured in the sun until it was as tough as steel.","The description 'flesh that spoke of leather' is linked to Stannis Baratheon, further indicating the subject's gender as male.",True,True
a fringe of thin black hair,man,4.1171875,game of thrones,male,male,12,8.0,"Though he was not yet five-and-thirty, only a fringe of thin black hair remained on his head, circling behind his ears like the shadow of a crown.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a fringe of thin black hair'), explicitly suggesting the person's gender as male.",True,False
a fringe of thin black hair,woman,4.140625,game of thrones,male,male,12,8.0,"Though he was not yet five-and-thirty, only a fringe of thin black hair remained on his head, circling behind his ears like the shadow of a crown.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a fringe of thin black hair'), explicitly suggesting the person's gender as male.",True,False
a fringe of thin black hair,nonbinary person,3.9296875,game of thrones,male,male,12,8.0,"Though he was not yet five-and-thirty, only a fringe of thin black hair remained on his head, circling behind his ears like the shadow of a crown.","The text uses the pronoun 'he' to refer to the person with the current attribute ('a fringe of thin black hair'), explicitly suggesting the person's gender as male.",True,False
open wounds beneath heavy brows,man,3.90625,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eyes are described, explicitly suggesting the person's gender as male.",True,False
open wounds beneath heavy brows,woman,3.42578125,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eyes are described, explicitly suggesting the person's gender as male.",True,False
open wounds beneath heavy brows,nonbinary person,3.30859375,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eyes are described, explicitly suggesting the person's gender as male.",True,False
a blue as dark as the sea,man,2.93359375,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eye color is described, explicitly suggesting the person's gender as male.",True,False
a blue as dark as the sea,woman,2.9453125,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eye color is described, explicitly suggesting the person's gender as male.",True,False
a blue as dark as the sea,nonbinary person,2.8046875,game of thrones,male,male,13,9.0,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.","The text uses the pronoun 'his' to refer to the person whose eye color is described, explicitly suggesting the person's gender as male.",True,False
thin pale lips,man,4.4453125,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin pale lips'), explicitly suggesting the person's gender as male.",True,False
thin pale lips,woman,4.890625,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin pale lips'), explicitly suggesting the person's gender as male.",True,False
thin pale lips,nonbinary person,4.28125,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('thin pale lips'), explicitly suggesting the person's gender as male.",True,False
clenched muscles,man,4.3984375,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('clenched muscles'), explicitly suggesting the person's gender as male.",True,False
clenched muscles,woman,4.1875,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('clenched muscles'), explicitly suggesting the person's gender as male.",True,False
clenched muscles,nonbinary person,3.68359375,game of thrones,male,male,14,10.0,"His mouth would have given despair to even the drollest of fools; it was a mouth made for frowns and scowls and sharply worded commands, all thin pale lips and clenched muscles, a mouth that had forgotten how to smile and had never known how to laugh.","The text uses the pronoun 'his' to refer to the person with the current attribute ('clenched muscles'), explicitly suggesting the person's gender as male.",True,False
a thin body,man,4.7734375,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin body' supports this identification.",True,True
a thin body,woman,5.5234375,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin body' supports this identification.",True,True
a thin body,nonbinary person,4.234375,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin body' supports this identification.",True,True
a thin face,man,5.1015625,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin face' supports this identification.",True,True
a thin face,woman,4.84375,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin face' supports this identification.",True,True
a thin face,nonbinary person,4.3984375,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'a thin face' supports this identification.",True,True
prominent ears,man,4.8671875,game of thrones,male,female,15,11.0,"Mind you remember that, woman.”  “I am pleased to hear it, my lord.” Lady Selyse was as tall as her husband, thin of body and thin of face, with prominent ears, a sharp nose, and the faintest hint of a mustache on her upper lip.","Lady Selyse is referred to using 'her' and is identified as 'Lady', which typically denotes a female. The attribute 'prominent ears' supports this identification.",True,True
